frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,pelvis_link_pos_x,pelvis_link_pos_y,pelvis_link_pos_z,pelvis_link_quat_w,pelvis_link_quat_x,pelvis_link_quat_y,pelvis_link_quat_z,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.6034219264984131,direct,direct,direct,0,0,0,3,0,0,5,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06702658342558547,0.9155383372314836,-0.17582433349908147,-0.32832928085539126,-0.0854309642547339,0.021580965336735956,0.9404444138887862,,,,,,,-0.7698028673589763,-0.6212382415496811,-0.14651482055464282,0.6138635108366193,-0.7834682905362325,0.09669037070760056,,,,,,,,,,,-2.4625922048273408
2,0.6948175430297852,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06690135864951706,0.9220849976194448,-0.18188290342715574,-0.32684495420297827,-0.09208028692023505,0.020304725177197544,0.9403623316616945,,,,,,,-0.76938719334548,-0.6184446962926505,-0.15990467267548983,0.6109660366120387,-0.7855201880950627,0.09837955174564143,,,,,,,,,,,-2.4645300306243008
3,0.8315696716308594,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06982340816658225,0.9334007211188327,-0.1802789851665938,-0.3335498985157614,-0.0761365150140928,0.04838815517752936,0.9384062461003495,,,,,,,-0.7658953925632687,-0.633378827313013,-0.11061423399341574,0.6186424053002996,-0.7728061032772814,0.14160614782432188,,,,,,,,,,,-2.4506166626967807
4,0.949507474899292,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06629544193337265,0.9224772476713571,-0.18437363961600192,-0.32763021326857533,-0.09551367806568165,0.022211251952403182,0.9397032728168291,,,,,,,-0.7670711613119072,-0.6199933241011475,-0.1649548773259322,0.6115074106274767,-0.7843302072805898,0.1043303057355156,,,,,,,,,,,-2.4618350750255464
5,1.0385980606079102,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06447757197557019,0.9225480856179227,-0.17668691048768906,-0.3281936162369106,-0.09763294911677926,0.018226909542577954,0.9393745457891791,,,,,,,-0.7655135150161996,-0.6201525522307653,-0.1714639037500616,0.6130343645030591,-0.7839134600597324,0.09832881101441937,,,,,,,,,,,-2.4607155153708886
6,1.124866008758545,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06696266936155496,0.9226203628983611,-0.18718029753161178,-0.32759017799398144,-0.09779627491427045,0.024332139193512042,0.9394298860995597,,,,,,,-0.7662411277895281,-0.6202551923480826,-0.16780354718859464,0.6107368220527989,-0.7841852445682781,0.10979087571486763,,,,,,,,,,,-2.4610992164931718
7,1.2076084613800049,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06702547964738341,0.9208756635291377,-0.18433565733171403,-0.32769987312316157,-0.09706628180056771,0.018895206521965593,0.939592412305979,,,,,,,-0.766381860184953,-0.6194768034821913,-0.1700215701813666,0.6121404537184273,-0.7845115286511121,0.0991248018151528,,,,,,,,,,,-2.4618030216097715
8,1.291262149810791,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06634959536404107,0.9293151573100308,-0.17966918019845957,-0.3325509999445275,-0.08680778021345065,0.044437343415862245,0.9380296179974538,,,,,,,-0.7637484834606166,-0.6316003891663005,-0.13330117185001328,0.6161703606042453,-0.7748703098920716,0.1411031167643014,,,,,,,,,,,-2.4506189884097314
9,1.3728196620941162,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06142492762209212,0.9321268438135859,-0.17904291665347588,-0.332933054491163,-0.08391291095824392,0.03938907169793782,0.9383830271442855,,,,,,,-0.7642284092033965,-0.6314479583518561,-0.1312570548950399,0.618226951687388,-0.7752081645159186,0.12979883618577476,,,,,,,,,,,-2.4510460007345167
10,1.4562270641326904,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06565513249491578,0.9228568372112578,-0.17242306206432087,-0.32793598744756275,-0.09804913125803354,0.017834807132757428,0.9394286964165371,,,,,,,-0.7656887119926735,-0.6196423290829103,-0.17252298494898152,0.6126475797008245,-0.7842798155826586,0.09781673658609116,,,,,,,,,,,-2.4612299654442573
