frame_idx,origin_source,mode,used_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,obj_euler_x_deg,obj_euler_y_deg,obj_euler_z_deg,filter_mode,quat_order,apply_x_map
1,1,fallback,"2,3,4,5",-1.1951151511555471,0.32621402341041716,-0.18414515593952466,0.013437400061225221,0.7049891298414405,0.7086426461410947,0.025206410993047063,176.8655862556422,-0.9451861434554694,90.32202064356017,ema,wxyz,-X
2,1,fallback,"2,3,4,5",-1.1959494291717634,0.3248032564872454,-0.18504670519494487,0.012367361033704324,0.7051535470785927,0.7084083196921263,0.02762564052686293,176.7555974007598,-1.2284213091470457,90.29864097913864,ema,wxyz,-X
3,1,primary,0,-1.1963570685132998,0.3217769524925606,-0.19249675409709396,0.011623389307879314,0.705328502992179,0.7082202276413032,0.028296799244969483,176.7614719023628,-1.3438948471914365,90.27241422109769,ema,wxyz,-X
4,1,primary,0,-1.1967904789211892,0.3208123516611511,-0.1972159214935076,0.011947454343531333,0.7054927182549959,0.708069071632301,0.027847309055947653,176.77211557011248,-1.2819798072628568,90.24497663589281,ema,wxyz,-X
5,1,primary,0,-1.1966808544313845,0.3186375522307493,-0.20383855600244394,0.012808527618559148,0.7057283250719507,0.7077739912732247,0.028973265065456076,176.61144080036408,-1.3043606847051614,90.20442433402448,ema,wxyz,-X
6,1,primary,0,-1.196386676934527,0.31835219826469385,-0.20921259975875373,0.013961512203926447,0.7057067897799701,0.7077382108686082,0.029826630918193396,176.4488369742695,-1.2798374904202525,90.20436851440611,ema,wxyz,-X
7,1,primary,0,-1.1968480033017808,0.3194919824264346,-0.20962336752913382,0.014403765771108431,0.7055202002678725,0.7079402918363709,0.02922878273596381,176.46133045935443,-1.1946451778514713,90.23310516576899,ema,wxyz,-X
8,1,primary,0,-1.196694269624396,0.3181994156684236,-0.21254534295472546,0.013673337783081016,0.7056279337996388,0.7078034863319104,0.030273480340314338,176.43568568065805,-1.3389841238831652,90.21804287484633,ema,wxyz,-X
9,1,primary,0,-1.1967980177942348,0.3182659384842846,-0.2138052174793732,0.013749759153371805,0.7055804271732788,0.7078504271832633,0.030248597482681872,176.43143954771958,-1.3305327904055495,90.22548645608374,ema,wxyz,-X
10,1,primary,0,-1.196971839928881,0.3179234720842422,-0.21491808951306354,0.01390684635232867,0.7055801826797083,0.7078435399774046,0.030343505836647303,176.41102649932853,-1.32547331379122,90.22502756174954,ema,wxyz,-X
11,1,primary,0,-1.1969012419220568,0.3177855976166575,-0.21609250488640808,0.013463232996065505,0.7056160070230482,0.707792141398168,0.030904313050752006,176.4013886841185,-1.4070286781211103,90.22063198388913,ema,wxyz,-X
12,1,primary,0,-1.197148851096251,0.31728132590040437,-0.21655306654616369,0.013368225293307381,0.7056708148789721,0.7077136007421228,0.031487313400387226,176.36180631511456,-1.462209870650574,90.21206295686667,ema,wxyz,-X
13,1,primary,0,-1.1969228250470267,0.3178162908375152,-0.2169850308976665,0.013538587302620461,0.7055999178389655,0.7077697251261963,0.0317408064529395,176.32728641326275,-1.4685494259705802,90.22300740345787,ema,wxyz,-X
14,1,primary,0,-1.1970627403508778,0.31748097725936214,-0.21831235436321703,0.013360346598016291,0.7055981941084577,0.7077577280458153,0.03211990039041215,176.3108840184402,-1.513684787524263,90.22384042627482,ema,wxyz,-X
15,1,primary,0,-1.1970837160749108,0.31650374154700467,-0.22033817884257278,0.013180593298191257,0.7056485888657645,0.7076797190001419,0.032798724181639004,176.2703587592515,-1.5834827603200452,90.2162418461393,ema,wxyz,-X
16,1,primary,0,-1.1972669156503624,0.31754677199134695,-0.21770013239190789,0.013065708896699018,0.7055964423248784,0.7077794478671787,0.031799386886118365,176.36074797914074,-1.511625876115597,90.22501613751713,ema,wxyz,-X
17,1,primary,0,-1.1974087143989607,0.31721656187011193,-0.2172867263507933,0.012423328665062733,0.7055284813084067,0.7078418432025059,0.03217371565754035,176.38210438362484,-1.5936837267248847,90.23789573960575,ema,wxyz,-X
