frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.5419914722442627,direct,direct,direct,0,0,0,3,0,0,6,1,-0.2973108313251339,0.6839160495041031,-1.2980940530578164,0.6557055232298836,-0.05098198934995437,-0.008260776799246753,0.7532482081853358,1,0,-1,,,,,,,,0,,,,,,,,-0.3192201958756401,0.6975194278439834,-1.0494277548935194,0.6557055232298836,-0.05098198934995437,-0.008260776799246753,0.7532482081853358,,,,,,,,-0.3192201958756401,0.6975194278439834,-1.0494277548935194,0.6557055232298836,-0.05098198934995437,-0.008260776799246753,0.7532482081853358,head,1,4,0.18779417257219722,0.8152209252038364,-0.16342635156696347,-0.41607167812633944,-0.0886637713235622,0.0101691504016382,0.9049418117735106,-0.1349022071354918,0.9886603226098789,-0.06597091030828316,-0.9869757192706721,-0.13996405274499546,-0.07930317464852767,-0.6380461886316302,-0.7548445869141207,-0.1520089167749757,0.7512380460110574,-0.6535618940824819,0.0921859470245207,-0.010480876113431847,-0.587147573590856,0.8432458580107007,-0.6501828871034185,0.7474419932048764,-0.1363549783168396,-0.7535759743829943,-0.657289177646804,-0.00970503895456562,1.7064083363996838,-2.2725369638904573
2,0.6394739151000977,direct,direct,direct,0,0,0,3,0,0,8,1,-0.25073175249784047,0.7182650971245359,-1.3002288194553577,0.6586546535196315,-0.0525985769999015,-0.025280577627983015,0.750178864997752,1,1,8,-0.13176231392868964,0.7928919048486495,-0.7205580938849694,0.5082754601380371,0.5249836452257363,-0.4733501313348748,-0.4919226382595357,1,-0.1319154267184316,0.7946514758273218,-0.7705268888118498,0.5082754601380371,0.5249836452257363,-0.4733501313348748,-0.4919226382595357,-0.27878650794414955,0.7261047683635599,-1.0519316784091672,0.6586546535196315,-0.0525985769999015,-0.025280577627983015,0.750178864997752,-0.13252787787739934,0.8016897597420111,-0.9704020685193717,0.5082754601380371,0.5249836452257363,-0.4733501313348748,-0.4919226382595357,-0.2794731448379371,0.720751670517064,-1.0360364463932819,0.6567608769758991,-0.05154959805166682,-0.014218028800713765,0.7522005298267089,fused,1,5,0.19169646773703947,0.8219056978522012,-0.16500219548359638,-0.41871951230219856,-0.07540912202227332,0.02371494168082511,0.9046684673814568,-0.1320155788291192,0.989497626600978,-0.058875579805584506,-0.9865658919219222,-0.13692599626174054,-0.08910113604231229,-0.6379748686664779,-0.7611813247762028,-0.1165806920632022,0.7540280330523612,-0.6482231431169682,0.10605886148147187,-0.013392705714359576,-0.5563006263331072,0.825399210014772,-0.6621007368742472,0.7440172286639588,-0.0897829476113459,-0.7472029858220981,-0.6645897043365822,0.0028675544209146465,1.703429839007257,-2.2683633558931615
3,0.8326845169067383,direct,direct,direct,0,0,0,3,0,0,8,1,-0.18460406917172786,0.7477657003278179,-1.300869834681741,0.6597668464707214,-0.06337951240274306,-0.050955969589586224,0.7470570492732503,1,1,8,-0.1319021314248836,0.7947043267762666,-0.7208708376570429,0.5079811886757154,0.5252615824973229,-0.4728312023746988,-0.4924287115562132,1,-0.1320805770869766,0.796542903377517,-0.7708367039382054,0.5079811886757154,0.5252615824973229,-0.4728312023746988,-0.4924287115562132,-0.2250876546142028,0.7496400426999958,-1.0541765713963533,0.6597668464707214,-0.06337951240274306,-0.050955969589586224,0.7470570492732503,-0.1327943597353486,0.8038972097825187,-0.9707001690628554,0.5079811886757154,0.5252615824973229,-0.4728312023746988,-0.4924287115562132,-0.2442868966558306,0.7403576050205316,-1.0277771197359946,0.6579269501349864,-0.05569911491987444,-0.02707909255385714,0.7505307852644536,fused,1,5,0.19364231723373884,0.822976787675155,-0.16139839057019367,-0.4180637381920962,-0.08417871362321917,0.02246423692765368,0.90423006643268,-0.1280594737664357,0.9906054240390835,-0.04797567136593228,-0.9845722980867498,-0.1327977020650695,-0.11393928280629269,-0.6362733099631807,-0.7598336246512611,-0.1334508818922663,0.7522695823828728,-0.649436137736217,0.11100981228595339,-0.01580307539919379,-0.5408591811613843,0.8102108596117229,-0.6648120890481456,0.7425665320798446,-0.08136234811233647,-0.7449959777315611,-0.6670685431744041,-0.0007428801870654801,1.6993572787376796,-2.267921014173474
4,0.918738842010498,direct,direct,direct,0,0,0,3,0,0,8,1,-0.24685854476993918,0.7298712967288026,-1.295305642052389,0.6602622861174847,-0.05042578482092278,-0.02797044505824451,0.7488181407787545,1,1,8,-0.133123404896357,0.7960864572752355,-0.7212267507200907,0.5084521392008701,0.5255410130763833,-0.4717123579873274,-0.49271748196988435,1,-0.13338531161955142,0.797982844621645,-0.7711900884778979,0.5084521392008701,0.5255410130763833,-0.4717123579873274,-0.49271748196988435,-0.2749723309873357,0.7360460303787335,-1.0469681948381702,0.6602622861174847,-0.05042578482092278,-0.02797044505824451,0.7488181407787545,-0.1344329385123291,0.8055683940072829,-0.9710434395091269,0.5084521392008701,0.5255410130763833,-0.4717123579873274,-0.49271748196988435,-0.23043240498873122,0.7510149675308984,-1.0212071638391733,0.6587470864945941,-0.05385368263394589,-0.02739118005510526,0.7499345172458958,fused,1,5,0.19455679449507207,0.8230877417746675,-0.15959762084363213,-0.41726558280027914,-0.0880045251943153,0.0185950108667082,0.9043223222538155,-0.1263041138032921,0.9909845884302412,-0.044685750862104766,-0.9850841247596134,-0.13060399858014513,-0.11203509584707441,-0.6362892739113333,-0.7579580518736958,-0.14365079709218617,0.7514122714644647,-0.6510873179624208,0.10707428580716859,-0.020756545074495758,-0.5245936138430509,0.8078069170276527,-0.6643396514895269,0.7418847456363297,-0.09088372599587544,-0.7449086537306945,-0.6671657704916543,-0.0009655472035601414,1.6975660031856195,-2.2691501494339534
5,1.0080747604370117,direct,direct,direct,0,0,0,3,0,0,8,1,-0.2724862884803777,0.6945666537720443,-1.3088718502588843,0.6565511558314018,-0.05498407441136044,-0.018864449333824498,0.7520382064023796,1,1,8,-0.13241674667836434,0.7954743920033883,-0.7208992530508522,0.5081646848625146,0.5256770910372239,-0.4723418317662522,-0.492265622383815,1,-0.13260201915528871,0.7973405767056165,-0.7708640709607222,0.5081646848625146,0.5256770910372239,-0.4723418317662522,-0.492265622383815,-0.2993540888380077,0.7055231892547046,-1.0605614082026555,0.6565511558314018,-0.05498407441136044,-0.018864449333824498,0.7520382064023796,-0.13334310906298624,0.8048053155145295,-0.9707233426002021,0.5081646848625146,0.5256770910372239,-0.4723418317662522,-0.492265622383815,-0.2255030728753492,0.7524672172296999,-1.0192594878859627,0.657984746459417,-0.05424983015470457,-0.024407079595178172,0.7506779095061724,fused,1,5,0.19430594458992392,0.8233352323231773,-0.1662840748532065,-0.4178410030473029,-0.08449278833042011,0.020851682079710467,0.9043423423941961,-0.12822605870984516,0.9905173877634296,-0.04932932602470082,-0.9852210680729857,-0.13292073578474345,-0.10803483245493772,-0.6365397297851493,-0.7592662564088651,-0.13539543671747883,0.7522189893676882,-0.6499482070537409,0.1083232208821413,-0.025711156774600896,-0.515175573118812,0.8017243960525737,-0.663766482512354,0.7426820052291451,-0.08852963233851809,-0.7455825880046588,-0.6664130832450401,-0.0004549111070388381,1.6995339909369431,-2.2684948191943834
6,1.095388650894165,direct,direct,direct,0,0,0,3,0,0,8,1,-0.25654643550506107,0.7293777808191366,-1.293810681366852,0.6576037680285414,-0.048834040590969234,-0.027713698213448053,0.7512685749354607,1,1,8,-0.13205203046549907,0.7944387720883483,-0.7189717336438508,0.507685374324965,0.5227868659933209,-0.47438370714669836,-0.4938719994443473,1,-0.1323250324023997,0.796160337997376,-0.7689413412144864,0.507685374324965,0.5227868659933209,-0.47438370714669836,-0.4938719994443473,-0.28400249173220465,0.7350242900879724,-1.045387087661405,0.6576037680285414,-0.048834040590969234,-0.027713698213448053,0.7512685749354607,-0.13341704015000222,0.8030466016334863,-0.9688197714970288,0.507685374324965,0.5227868659933209,-0.47438370714669836,-0.4938719994443473,-0.2196254154483632,0.7582660972505602,-1.0150048674786016,0.6578544545395395,-0.05235455407093343,-0.02556451003672678,0.7508881229165241,fused,1,5,0.19344174633948163,0.8209885818317801,-0.16618129154814254,-0.4163616768796468,-0.09194293125201336,0.01382700515412901,0.9044325653951343,-0.12897303462103715,0.9906270300889667,-0.044989372053346716,-0.9852733559969078,-0.13314794493813406,-0.10727552713150634,-0.6363789028375122,-0.7556847098735724,-0.15479829226002045,0.7505995283363434,-0.6529035359088724,0.10157421355319808,-0.029327976402770073,-0.5063934352198207,0.7986022863987221,-0.6595617035942304,0.7442311118264323,-0.10534899781900339,-0.7481607497512195,-0.6635093795464249,-0.0032856940836363683,1.7002614459296368,-2.2706991311197204
7,1.1847379207611084,direct,direct,direct,0,0,0,3,0,0,8,1,-0.18290553495909412,0.7290877488191329,-1.312953739821024,0.6572546741678816,-0.0737362862454898,-0.047082454937570045,0.7485736408745948,1,1,8,-0.1335950559677177,0.7949961853998796,-0.7179941447354554,0.5080311053287858,0.5257054769836517,-0.4719766874972069,-0.49272320216016546,1,-0.13381485430658616,0.7969104256476373,-0.7679570046712527,0.5080311053287858,0.5257054769836517,-0.4719766874972069,-0.49272320216016546,-0.22597663687828115,0.735697165857482,-1.0667806385571366,0.6572546741678816,-0.0737362862454898,-0.047082454937570045,0.7485736408745948,-0.13469404766206,0.8045673866386678,-0.9678084444144417,0.5080311053287858,0.5257054769836517,-0.4719766874972069,-0.49272320216016546,-0.20587388983599575,0.7624192598996903,-1.0158062533811174,0.6577138235596038,-0.0598437874502918,-0.03309859664839278,0.750157137073372,fused,1,5,0.19685049941186475,0.8237506163621406,-0.16396575106700995,-0.41612478109659784,-0.08720718867341812,0.019132349335598344,0.90491382242172,-0.12766249480442113,0.9907389285555648,-0.04624567941853381,-0.9828159470246475,-0.13263401839702663,-0.1283784695262483,-0.638470145601975,-0.756451089329598,-0.14190709153195086,0.7497771757364973,-0.6529482395324187,0.10720439933191957,-0.030043380647242213,-0.5132965562374705,0.7919625944433086,-0.6613742602392031,0.746047603721156,-0.07744069262970792,-0.7475774043222859,-0.6640525529271953,-0.012737012900581128,1.6989460196309727,-2.2718163813428203
8,1.268136739730835,direct,direct,direct,0,0,0,3,0,0,8,1,-0.293080029236366,0.706010279218053,-1.2944118216798939,0.6564625060120658,-0.04753443851313493,-0.016562430393592245,0.7526773154912118,1,1,8,-0.13189264354842534,0.7957967188686834,-0.7231373091327685,0.5070088387736269,0.5222667979278397,-0.4749167533670919,-0.49460439399471623,1,-0.13216619828725312,0.7975363303463513,-0.7731062887072169,0.5070088387736269,0.5222667979278397,-0.4749167533670919,-0.49460439399471623,-0.31640538330400425,0.7153794847088281,-1.0456787401525447,0.6564625060120658,-0.04753443851313493,-0.016562430393592245,0.7526773154912118,-0.13326041724256427,0.8044947762570229,-0.97298220700501,0.5070088387736269,0.5222667979278397,-0.4749167533670919,-0.49460439399471623,-0.21250954348904671,0.7615505146038226,-1.0135397304502984,0.6573082471428272,-0.055538431937377036,-0.027312527665776274,0.7510761457059248,fused,1,5,0.19785947215152477,0.8255723578912673,-0.16574684145606278,-0.41649260537253047,-0.07804697581840628,0.021240265765001647,0.9055337820014419,-0.12972270163192262,0.9904108795271109,-0.047521683426089215,-0.984343299691897,-0.13439978814106085,-0.1140393147090323,-0.6408851584712055,-0.7576117252543182,-0.12365551911869206,0.7509807712201678,-0.6521655215604676,0.1034795329779052,-0.03011479253733662,-0.5092302331972822,0.794375211668391,-0.6613332225230462,0.7467754576407601,-0.07046122801027778,-0.7482486039295209,-0.663372717444606,-0.007788739800697737,1.7010336173656782,-2.272921773687761
9,1.357952356338501,direct,direct,direct,0,0,0,3,0,0,8,1,-0.24228104697641423,0.7205423573266608,-1.301997286114253,0.6594159075778804,-0.054769587219719716,-0.027103403709465707,0.7492905702438698,1,1,8,-0.12940126911079997,0.7947741624519263,-0.7234114915999824,0.507404449604378,0.5260693342928904,-0.4738918392589749,-0.4911398016064869,1,-0.129391924741514,0.7965708873724687,-0.7733791980937036,0.507404449604378,0.5260693342928904,-0.4738918392589749,-0.4911398016064869,-0.2717364223741203,0.7284461634482319,-1.0538644372026815,0.6594159075778804,-0.054769587219719716,-0.027103403709465707,0.7492905702438698,-0.12935454726437018,0.8037577870546384,-0.9732500240685882,0.507404449604378,0.5260693342928904,-0.4738918392589749,-0.4911398016064869,-0.20832212295461622,0.763143525830487,-1.0135458555151662,0.6580465463865158,-0.05526938846653887,-0.02723935995010674,0.7504519003619237,fused,1,5,0.19796331078049917,0.8244965303658562,-0.16792644778737092,-0.41597311577892077,-0.08059984812983348,0.018812600389492992,0.9056026267062225,-0.12784007497462815,0.9906755680580479,-0.047104501731217246,-0.9846535569913982,-0.13246552011657547,-0.11362331928100136,-0.6409400628612485,-0.7564452780457652,-0.1303317963571573,0.7503801071084835,-0.6532249060315233,0.10112822057154805,-0.030991118544916207,-0.5042596390920333,0.7928846035274376,-0.6613148155152528,0.7461155612206344,-0.07729349315721572,-0.7478261984456492,-0.6638251887237082,-0.009596652242340232,1.6991304457971408,-2.2737238736960386
10,1.444615125656128,direct,direct,direct,0,0,0,3,0,0,8,1,-0.22956737691354118,0.7722700605998762,-1.274262566388461,0.6602735037226493,-0.045455970491144686,-0.046911579314608376,0.7481790953740517,1,1,8,-0.13107411342766695,0.7950548881559643,-0.7196565435035629,0.5079257741083474,0.5248578800775076,-0.47302659447310497,-0.4927285811054169,1,-0.1312738944664509,0.7968806130477256,-0.7696228002790724,0.5079257741083474,0.5248578800775076,-0.47302659447310497,-0.4927285811054169,-0.262059216773858,0.7697276155634412,-1.0263960371520022,0.6602735037226493,-0.045455970491144686,-0.046911579314608376,0.7481790953740517,-0.13207301862158677,0.8041835126147708,-0.9694878273811102,0.5079257741083474,0.5248578800775076,-0.47302659447310497,-0.4927285811054169,-0.20438252111470337,0.7714777392210036,-1.0080844823781527,0.6588629241782513,-0.051837766968148284,-0.0341262208247292,0.7496985354869392,fused,1,5,0.19910814920955475,0.8270558079681262,-0.1625552308964538,-0.4165467107292901,-0.07948691595664384,0.020042323616484344,0.9054109416372009,-0.1264249861180798,0.991435192851386,-0.03275639267040038,-0.9843590845209225,-0.1294700963910119,-0.11947672100301665,-0.6403413359446214,-0.7574781041803293,-0.1272395188926468,0.751105694208812,-0.6521742860893227,0.10251310497190814,-0.02360573726375237,-0.5053964672502052,0.790462230555533,-0.6658673981470556,0.7435987348929554,-0.060675609189095626,-0.7449050255855652,-0.6671685754879966,-0.0016108192598228155,1.6976289692479558,-2.27259018376636
