frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,pelvis_link_pos_x,pelvis_link_pos_y,pelvis_link_pos_z,pelvis_link_quat_w,pelvis_link_quat_x,pelvis_link_quat_y,pelvis_link_quat_z,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.7108583450317383,none,direct,direct,0,0,0,2,0,0,3,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0.08445144207048805,0.9284542387782345,-0.17953695964230204,-0.373223524006695,-0.14854705448196878,0.001291746641978918,0.9157708802551913,,,,,,,-0.67727594746551,-0.6839582405407174,-0.27110591321685035,0.6831906999055052,-0.7214050650372736,0.11324839822793328,,,,,,,,,,,-2.3512855337044085
2,0.8620915412902832,none,direct,direct,0,0,0,2,0,0,6,0,,,,,,,,0,1,8,-0.3350449654278662,0.9594002838863156,-0.7369101455895902,-0.44780075404978814,-0.43314132190687266,0.536536888514856,0.5692022902202741,1,-0.40544718898423143,0.9761617312036809,-0.7834137024658848,-0.009002984781251161,0.9933406273458953,-0.11239855138923478,-0.02366241692416681,-0.3372942571903042,0.9605605490798395,-0.7868460492186238,-0.44780075404978814,-0.43314132190687266,0.536536888514856,0.5692022902202741,,,,,,,,-0.3462914242400562,0.9652016098539347,-0.9865896637347579,-0.44780075404978814,-0.43314132190687266,0.536536888514856,0.5692022902202741,-0.3462914242400562,0.9652016098539347,-0.9865896637347579,-0.44780075404978814,-0.43314132190687266,0.536536888514856,0.5692022902202741,pelvis,1,4,0.08939679136640424,0.9326754129823893,-0.18473119227691898,-0.37377709067996695,-0.14311786162070714,-0.003421631353094198,0.9164039811168542,-0.22372615985841635,-0.9745710238212603,-0.012566818331898188,0.04498583524875999,-0.02320530387047612,0.9987180725806704,-0.6796159283358724,-0.6840822347737754,-0.2648654111413719,0.686041021023813,-0.7205579578434068,0.1007171626940724,-0.07585257212578966,0.8211851256661099,-0.39212314345956145,0.8220631012508287,-0.279224626962629,0.49623166491010123,0.54748388927252,0.14817094531533231,-0.8235938088350329,-1.7964503249482333,-2.352919358943028
3,1.032282829284668,none,direct,direct,0,0,0,2,0,0,6,0,,,,,,,,0,1,8,-0.33231108251190467,0.9604436998782573,-0.7365802076195335,-0.44638612512262854,-0.43846664668408186,0.5375090951350903,0.565305580806238,1,-0.4022701524728066,0.9767644448054855,-0.783902103346839,-0.009938503616300526,0.9938337238740192,-0.10898095206730887,-0.017857982054847104,-0.3339775582339262,0.9616260398727634,-0.7865384394818132,-0.44638612512262854,-0.43846664668408186,0.5375090951350903,0.565305580806238,,,,,,,,-0.3406434611220123,0.966355399850788,-0.9863713669309322,-0.44638612512262854,-0.43846664668408186,0.5375090951350903,0.565305580806238,-0.3406434611220123,0.966355399850788,-0.9863713669309322,-0.44638612512262854,-0.43846664668408186,0.5375090951350903,0.565305580806238,pelvis,1,4,0.08946809022061142,0.9334025128058259,-0.18274648871148003,-0.3731655852536819,-0.14419007146868681,-0.0013167203630146621,0.9164905539718442,-0.21697285408724293,-0.9760487564647433,-0.01586208034477032,0.033329514440430544,-0.02364679989012311,0.9991646372455948,-0.6799133385442642,-0.6836257518982539,-0.2652803864049128,0.6843851839112436,-0.7214914244595257,0.10520002126491479,-0.0739060688339157,0.8180681994148986,-0.3964808927953128,0.8189827014265475,-0.27155440113101564,0.5054953431936348,0.5540491098058756,0.14498333029200822,-0.8197618055635162,-1.7895366706294484,-2.353471866244834
4,1.200653314590454,none,direct,direct,0,0,0,2,0,0,6,0,,,,,,,,0,1,8,-0.33724721536644586,0.9599626658656104,-0.7387569868805963,-0.4525718909578789,-0.43312599364404725,0.5331676839639895,0.568605995326414,1,-0.4081483102389226,0.9760535931257007,-0.7847365128219819,-0.007996207024296603,0.9937357819461649,-0.10803789734423877,-0.027442104338127982,-0.3398878461283522,0.961053756294739,-0.7886752860388684,-0.4525718909578789,-0.43312599364404725,0.5331676839639895,0.568605995326414,,,,,,,,-0.3504503691759777,0.9654181180112531,-0.9883484826719564,-0.4525718909578789,-0.43312599364404725,0.5331676839639895,0.568605995326414,-0.3504503691759777,0.9654181180112531,-0.9883484826719564,-0.4525718909578789,-0.43312599364404725,0.5331676839639895,0.568605995326414,pelvis,1,4,0.09009603795104477,0.9338396806582552,-0.18613050830148473,-0.3742324199793822,-0.1429804578211828,-0.0018962444679764966,0.916244011590001,-0.2151611142893332,-0.9765277468213212,-0.009962659577000437,0.05281261523812739,-0.02182180858257076,0.99836598316544,-0.6790133690352395,-0.6852341756935418,-0.2634292488183576,0.6863186793022303,-0.7198930001865853,0.1035410002037742,-0.07194346016235509,0.8248626432047559,-0.3912259849835884,0.8178719146625576,-0.2839062237752552,0.500482554449078,0.5542948538911027,0.15532746405710635,-0.8176983513860275,-1.7876640667371773,-2.3516346406492996
5,1.354412317276001,none,direct,direct,0,0,0,2,0,0,5,0,,,,,,,,0,1,8,-0.3354721900156814,0.959573663457407,-0.7379222738015612,-0.4501965800395815,-0.43529527660789463,0.5339986646142564,0.5680550040917799,1,-0.40607576696173353,0.9758226136371604,-0.7843022968770059,-0.009577518022918143,0.9937727626767563,-0.10828090602927992,-0.024478821454605105,-0.33780112238517945,0.9607905100084926,-0.7878531796464325,-0.4501965800395815,-0.43529527660789463,0.5339986646142564,0.5680550040917799,,,,,,,,-0.34711685186317165,0.9656578962128347,-0.9875768030259182,-0.4501965800395815,-0.43529527660789463,0.5339986646142564,0.5680550040917799,-0.34711685186317165,0.9656578962128347,-0.9875768030259182,-0.4501965800395815,-0.43529527660789463,0.5339986646142564,0.5680550040917799,pelvis,1,3,0.08730055619492896,0.9324591657990049,-0.18259332107252768,-0.3728853869939461,-0.14750289820316118,0.0006833408184477074,0.916078007722797,-0.21568212296704192,-0.9763670330759978,-0.013734575159176303,0.04657864738996096,-0.02433693102171084,0.9986181168974282,-0.6783987663760859,-0.6833857943550797,-0.26973870662750943,0.682982615350353,-0.7219120424234017,0.11125533754954724,-0.07233802904255449,0.8249136193639193,-0.39000484161734633,0.8172585931704845,-0.2843333432570914,0.501241400725485,0.55601593377899,0.16048312567259523,-0.8155313898055866,-1.7882075037690044,-2.352532379584681
6,1.5099496841430664,none,direct,direct,0,0,0,2,0,0,5,0,,,,,,,,0,1,8,-0.33361874928852275,0.9600632267283818,-0.739129054302793,-0.4516368005961059,-0.43678801742557455,0.5334055390863588,0.5663205444381655,1,-0.40425481822817866,0.9758867560105207,-0.7856065938870854,-0.009033111090637903,0.9940754507731024,-0.10565063275142195,-0.023881894261169132,-0.3358973543785775,0.9612134998503122,-0.7890638601058453,-0.4516368005961059,-0.43678801742557455,0.5334055390863588,0.5663205444381655,,,,,,,,-0.34501177473879646,0.965814592338034,-0.9888030833180543,-0.4516368005961059,-0.43678801742557455,0.5334055390863588,0.5663205444381655,-0.34501177473879646,0.965814592338034,-0.9888030833180543,-0.4516368005961059,-0.43678801742557455,0.5334055390863588,0.5663205444381655,pelvis,1,3,0.08921600013512843,0.9320729260616647,-0.18437481606386424,-0.37341641683917326,-0.14684559092177282,0.00024317800205019195,0.9159675173969257,-0.2104808563614985,-0.9775126934064969,-0.012912913478628663,0.04557210180109498,-0.023005462438608872,0.9986961160610454,-0.6779931041236561,-0.6841460358096866,-0.2688299693982422,0.6840031973400459,-0.7211202409989044,0.11011459508292577,-0.06880123944439132,0.8239443011540304,-0.3913812408884161,0.8149373814461438,-0.28363792115105474,0.5053974614170611,0.5595127100796049,0.15773218639042855,-0.8136744340557047,-1.782881088435562,-2.351677411387801
7,1.6684374809265137,none,direct,direct,0,0,0,2,0,0,6,0,,,,,,,,0,1,8,-0.33085222199009934,0.9593801117886052,-0.7437137353250592,-0.44893292685226927,-0.4326364586557781,0.5380049584125659,0.567305549552563,1,-0.40121950871398276,0.9758194835523067,-0.7903848400380783,-0.006502061471752861,0.9934399467365882,-0.11187056122854076,-0.02279852966824426,-0.3330443800734299,0.96028110097974,-0.7936575303492176,-0.44893292685226927,-0.4326364586557781,0.5380049584125659,0.567305549552563,,,,,,,,-0.34181301240675216,0.9638850577442792,-0.9934327104458511,-0.44893292685226927,-0.4326364586557781,0.5380049584125659,0.567305549552563,-0.34181301240675216,0.9638850577442792,-0.9934327104458511,-0.44893292685226927,-0.4326364586557781,0.5380049584125659,0.567305549552563,pelvis,1,4,0.09242091329274096,0.9340462724320953,-0.19062098925437979,-0.3733701633782066,-0.14178840989914634,-0.0013285328071143629,0.9167818731398344,-0.2225698436592846,-0.9748854014540573,-0.007817846586008566,0.04384316166661122,-0.018019783822696162,0.9988759004831677,-0.6809815358344061,-0.6842212544043572,-0.2609701570562072,0.6849747366212359,-0.7211859121990233,0.10344317394749276,-0.0738342396302476,0.8214851575899998,-0.3920035152103463,0.8206434909003061,-0.2782036651050568,0.49914625268058754,0.5498101946325167,0.14635396587466876,-0.8223680845892011,-1.7952529467591218,-2.3538214270022473
8,1.8225133419036865,none,direct,direct,0,0,0,2,0,0,6,0,,,,,,,,0,1,8,-0.33598935475854264,0.9590707469223076,-0.7393158262188544,-0.44960508605587546,-0.4344355157536103,0.5352491920566771,0.568004710937557,1,-0.4065117145762469,0.9754250541453056,-0.7857823023171991,-0.008792974289307398,0.99364725240186,-0.10960665059237418,-0.023962544591572692,-0.33827400957188036,0.9602071038218439,-0.7892506742248389,-0.44960508605587546,-0.4344355157536103,0.5352491920566771,0.568004710937557,,,,,,,,-0.34741262882523133,0.9647525314199892,-0.9889900662487767,-0.44960508605587546,-0.4344355157536103,0.5352491920566771,0.568004710937557,-0.34741262882523133,0.9647525314199892,-0.9889900662487767,-0.44960508605587546,-0.4344355157536103,0.5352491920566771,0.568004710937557,pelvis,1,4,0.08935762727897817,0.933490691809946,-0.1871129596987821,-0.374178850919982,-0.14219974383322642,-0.002002614707279389,0.9163871506695742,-0.21824209848916692,-0.9758181314981375,-0.012221320981315719,0.04569309626675483,-0.022727137990726256,0.9986969601196893,-0.6795388407559332,-0.6852158394740115,-0.26211870829455797,0.686354924667499,-0.719972354117072,0.1027459327262794,-0.07461578484108267,0.8215001062023375,-0.3928390426169849,0.8201534596292038,-0.2772543958947769,0.500478074060462,0.5515148472336554,0.15033664336591743,-0.82050610414689,-1.790825813216859,-2.3520347931734653
9,1.9875845909118652,none,direct,direct,0,0,0,2,0,0,6,0,,,,,,,,0,1,8,-0.33203363392534935,0.9597442686755134,-0.7408299317164546,-0.45014907741159055,-0.43647072956742305,0.5352311244539668,0.566027166973563,1,-0.40247035492373195,0.975740598342271,-0.7875502246541964,-0.00855884733771433,0.9939390492032717,-0.10731924222425801,-0.022237195181882066,-0.3341520226878924,0.9608336138276371,-0.7907731570447238,-0.45014907741159055,-0.43647072956742305,0.5352311244539668,0.566027166973563,,,,,,,,-0.34262557773806473,0.9651909944361315,-0.9905460583578009,-0.45014907741159055,-0.43647072956742305,0.5352311244539668,0.566027166973563,-0.34262557773806473,0.9651909944361315,-0.9905460583578009,-0.45014907741159055,-0.43647072956742305,0.5352311244539668,0.566027166973563,pelvis,1,4,0.09019866412205532,0.9340209164181037,-0.18698290389536484,-0.3740627315112099,-0.14218561674311972,-0.0021092596139714753,0.9164365086080061,-0.2137182206727503,-0.9768186527613208,-0.012240987298022669,0.042367775250861564,-0.02178690304247225,0.9988645065653848,-0.6797206465715021,-0.6850096745748466,-0.26218617119001847,0.6862093000911819,-0.7201452478365064,0.10250667532832315,-0.07189131958527539,0.8216676134461047,-0.392066464387263,0.8176083321777208,-0.2757624727381793,0.5054420577899033,0.555541097248887,0.1471531757639094,-0.8183642417225342,-1.7861922655967457,-2.3523189981321524
10,2.1224138736724854,none,direct,direct,0,0,0,2,0,0,5,0,,,,,,,,0,1,8,-0.3328045253537033,0.9583416988756966,-0.7396104295532411,-0.4474585916989806,-0.4334833020527722,0.538938281883331,0.5669378836140987,1,-0.4029780673147211,0.9748953507287571,-0.7865321795096627,-0.007012156042279696,0.9934090296245912,-0.11246713587283842,-0.020987445688487694,-0.3348105734486364,0.9592743325792374,-0.7895614652323523,-0.4474585916989806,-0.4334833020527722,0.538938281883331,0.5669378836140987,,,,,,,,-0.3428347658283687,0.9630048673934009,-0.9893656079487969,-0.4474585916989806,-0.4334833020527722,0.538938281883331,0.5669378836140987,-0.3428347658283687,0.9630048673934009,-0.9893656079487969,-0.4474585916989806,-0.4334833020527722,0.538938281883331,0.5669378836140987,pelvis,1,3,0.08869472971647643,0.9320794925458153,-0.1841319864627345,-0.37279742806646415,-0.14689527351852488,0.00010179728787450057,0.9162116818084451,-0.22374607111238012,-0.9746039460323992,-0.00921108244733237,0.040120961898661496,-0.018652674070816787,0.9990207135822231,-0.6788877124898948,-0.6831526241661672,-0.269098431666031,0.6830928100043847,-0.7220441345286831,0.10971089605430574,-0.07383011011515117,0.8223352865238569,-0.3922869624195051,0.8201803894913428,-0.28332991203393765,0.4970194056982783,0.5498571741686784,0.15047785217346135,-0.821592054501805,-1.796462365781101,-2.3530632336335913
