frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.5720367431640625,direct,direct,direct,0,0,0,3,0,0,6,1,-0.29152149882910966,0.6772698515300488,-1.3168558311423295,0.6588719491257243,-0.05581484891566158,-0.02095802995095058,0.7498888039412016,1,0,-1,,,,,,,,0,,,,,,,,-0.31935329299868087,0.6877991746712175,-1.068633099331781,0.6588719491257243,-0.05581484891566158,-0.02095802995095058,0.7498888039412016,,,,,,,,-0.31935329299868087,0.6877991746712175,-1.068633099331781,0.6588719491257243,-0.05581484891566158,-0.02095802995095058,0.7498888039412016,head,1,4,0.18793057308838,0.807926142966809,-0.1818438872034215,-0.4098261182012383,-0.09925685751227006,0.0254747391564691,0.9063893571428361,-0.12554491459158176,0.9905009343111596,-0.05609254450381235,-0.9858218572100311,-0.13089703127168767,-0.10498206061620399,-0.6443812581537877,-0.7479811487427602,-0.1590502916237593,0.7378669785242972,-0.6627871810100293,0.12753617013304108,0.005556701344352599,-0.6089127453456469,0.8290699051811965,-0.6510557010962555,0.7498510678383877,-0.11768538622825404,-0.7562805971377082,-0.6540375307272979,0.016570057126351078,1.6968729535591374,-2.2819255079117093
2,0.6767172813415527,direct,direct,direct,0,0,0,3,0,0,6,1,-0.3560324898555859,0.6337915566733512,-1.321515556873454,0.6574115553781822,-0.04322647045540537,0.006037823370042858,0.7522666174941963,1,0,-1,,,,,,,,0,,,,,,,,-0.3703067377870369,0.6502713737429545,-1.072468048402994,0.6574115553781822,-0.04322647045540537,0.006037823370042858,0.7522666174941963,,,,,,,,-0.33718699867460544,0.6746644443463254,-1.0699753315067055,0.6584278909781388,-0.05141453564956352,-0.011511478148529652,0.7507974052811157,head,1,4,0.18587431117005573,0.8060236160876635,-0.18581825384897677,-0.4102174736186267,-0.10254709278509108,0.01993568343971621,0.9059847055138782,-0.12765851581204016,0.9898756188295011,-0.062044843360096746,-0.987508189614914,-0.1326803965058326,-0.08499110439645759,-0.6424114361985541,-0.7473902068248909,-0.16945626392540802,0.7392128213071838,-0.6626483857274853,0.12025606723916833,0.008398623533921845,-0.6091016006237004,0.8375600319198733,-0.64730016565047,0.747952858352372,-0.14686394122244684,-0.7577675613806261,-0.6522789603119493,0.01790197904204338,1.6990526089414721,-2.2808025822369817
3,0.8432726860046387,direct,direct,direct,0,0,0,3,0,0,7,1,-0.3582395585112892,0.6772716868621482,-1.2981090325846676,0.6592944905033253,-0.03156596328173735,-0.004757528555648762,0.7512068494603192,1,1,8,-0.16468706411409473,0.7872629162144886,-0.7294529191029289,0.5108944143800361,0.5200653901084586,-0.4725927860508337,-0.4951514373798463,1,-0.16540615931305871,0.7888272118072877,-0.7794232691256491,0.5108944143800361,0.5200653901084586,-0.4725927860508337,-0.4951514373798463,-0.37166414860739194,0.6858903756829349,-1.0486185546425986,0.6592944905033253,-0.03156596328173735,-0.004757528555648762,0.7512068494603192,-0.16828254010891464,0.795084394178484,-0.9793046692165301,0.5108944143800361,0.5200653901084586,-0.4725927860508337,-0.4951514373798463,-0.3136622196638472,0.6977024735508599,-1.0503705296547061,0.6587641965927562,-0.04447006201481848,-0.009148155725437994,0.7509783339875538,fused,1,4,0.18663859670181368,0.8083472622568979,-0.1810172697215078,-0.4110255063989065,-0.10025735294337106,0.017790876556759472,0.9059194119686657,-0.12810429374379753,0.9902489158006177,-0.054739151254875995,-0.9886216395908919,-0.13189208906864713,-0.07233070284274014,-0.642012992540621,-0.7482793025022866,-0.16702515635594242,0.7411446377417947,-0.6614830356017288,0.11465085938493948,-0.0021124602742285115,-0.5720823180006753,0.8312855259313694,-0.6495953317380363,0.7454811046896644,-0.14927768599099833,-0.756252559938402,-0.6537600247301449,0.026074808751987796,1.6994475710996153,-2.2799083102932616
4,0.9490776062011719,direct,direct,direct,0,0,0,3,0,0,7,1,-0.35699709964913623,0.637257316098837,-1.3190870015635887,0.6568690774678438,-0.0479265521754231,0.004391403385722142,0.7524671263513271,1,1,8,-0.15846582772245466,0.7860263177018504,-0.7355613277097585,0.5076175220872237,0.5197370254338783,-0.47729085830524864,-0.4943594969669443,1,-0.15875380891328403,0.7874781064866769,-0.7855394166704018,0.5076175220872237,0.5197370254338783,-0.47729085830524864,-0.4943594969669443,-0.3735863885994358,0.6546502444988312,-1.0702451209771486,0.6568690774678438,-0.0479265521754231,0.004391403385722142,0.7524671263513271,-0.15990573367660155,0.7932852616259833,-0.9854517725129752,0.5076175220872237,0.5197370254338783,-0.47729085830524864,-0.4943594969669443,-0.29724156417980724,0.7068953213799015,-1.0424878006363307,0.6581159705507664,-0.04568085467918423,-0.004409503804831225,0.7515165900351085,fused,1,4,0.18696968296559763,0.8100224626580399,-0.1823005552011305,-0.4125683635585181,-0.09533284720753918,0.02116832187062054,0.9056770372396179,-0.12959325764360413,0.989572999876947,-0.06285591052445219,-0.9887672802668841,-0.13372785116443647,-0.06675423055186688,-0.641397987267901,-0.7513434591220162,-0.1552147813941987,0.7432713135438888,-0.6586784950796565,0.11700595960181379,-0.014766530875254258,-0.5499843466140112,0.8260248206834805,-0.6506321797538114,0.7450301330166232,-0.14699614813333187,-0.7554879212931616,-0.6546493382411599,0.02592768251405255,1.7010140458747733,-2.2774160951447273
5,1.053879737854004,direct,direct,direct,0,0,0,3,0,0,7,1,-0.25259393924827883,0.750949339210661,-1.2907338940063038,0.6620025430233755,-0.04583140752334875,-0.051345157596965674,0.7463349046549784,1,1,8,-0.15791255335386278,0.785553562814709,-0.7366825724630073,0.5091777816856528,0.5168585128147858,-0.47809705311131157,-0.4949934061933001,1,-0.15840566462009137,0.7867696822591047,-0.7866653484440999,0.5091777816856528,0.5168585128147858,-0.47809705311131157,-0.4949934061933001,-0.2866920412809134,0.7469592517262467,-1.043102315568418,0.6620025430233755,-0.04583140752334875,-0.051345157596965674,0.7463349046549784,-0.16037810968500565,0.7916341600366876,-0.98659645236847,0.5091777816856528,0.5168585128147858,-0.47809705311131157,-0.4949934061933001,-0.27144429313591056,0.7287358059554494,-1.0328143548025703,0.6596444249256177,-0.04574521849283299,-0.020838704830021655,0.7498948966559256,fused,1,4,0.18991495243116735,0.811889547663813,-0.1725900693827673,-0.41149610343805293,-0.1008996333697303,0.017191999832168087,0.9056459882221773,-0.12555321529918842,0.9912345179296206,-0.04111594086078279,-0.9874214335073925,-0.12886996209111748,-0.09160483350150796,-0.6409804416823067,-0.7488089234553778,-0.16860981446627987,0.7418702575355448,-0.66075078399414,0.11417934329498303,-0.01086920845895023,-0.5450727296012596,0.8139596422482158,-0.6548355457054392,0.7448622781362338,-0.1279476247937409,-0.7527977721389155,-0.6578470444190945,0.02308203655981403,1.6967888743615338,-2.2787634057066763
6,1.1546413898468018,direct,direct,direct,0,0,0,3,0,0,7,1,-0.3413687622375672,0.7093014780080592,-1.28727440112381,0.6581788906301835,-0.034445597330233224,-0.02017929699170485,0.7518023973932944,1,1,8,-0.1600586491712619,0.7861438495880493,-0.7365972216011116,0.5082648980459425,0.5138019343633143,-0.47939352397610874,-0.4978515992026459,1,-0.16073136640831912,0.7873287138464609,-0.7865786536354993,0.5082648980459425,0.5138019343633143,-0.47939352397610874,-0.4978515992026459,-0.36095769721767257,0.7130517385989752,-1.038071252725068,0.6581788906301835,-0.034445597330233224,-0.02017929699170485,0.7518023973932944,-0.16342223535654796,0.7920681708801071,-0.9865043817730497,0.5082648980459425,0.5138019343633143,-0.47939352397610874,-0.4978515992026459,-0.2682052787388305,0.7370742580298815,-1.0256300666588414,0.6591415342977983,-0.041791039259804465,-0.02060822899303206,0.7505739455236243,fused,1,4,0.18932953117230658,0.8115254469789464,-0.1709217711974282,-0.4108723713825406,-0.1036974666187214,0.012061798997309275,0.9056959991389469,-0.12757189360225973,0.9911914027266332,-0.03556705109427325,-0.9877464454989421,-0.13021547732263034,-0.08602841896632295,-0.640861459702694,-0.7467524818335676,-0.17792504136051293,0.7417493698380268,-0.6620768148788728,0.10706149422055405,-0.014972657295599823,-0.5351522826239457,0.8116620023647733,-0.6520904609702077,0.7455539697451787,-0.13757655653805165,-0.7546790801762632,-0.6556579861148581,0.023918427793615978,1.698798242003114,-2.280030520120176
7,1.2681188583374023,direct,direct,direct,0,0,0,3,0,0,7,1,-0.22893638685411752,0.7450036933635111,-1.3025772769963533,0.6605237867074882,-0.056485598228444525,-0.05939678915149194,0.7463174430661986,1,1,8,-0.15596927773339275,0.7870750407886172,-0.7356940578802573,0.5062243794069177,0.5176688831260576,-0.4799008568654054,-0.49543008862699367,1,-0.1562061825903889,0.7884182453160102,-0.7856754511950332,0.5062243794069177,0.5176688831260576,-0.4799008568654054,-0.49543008862699367,-0.269630976518381,0.7414943040787143,-1.0559365776807192,0.6605237867074882,-0.056485598228444525,-0.05939678915149194,0.7463174430661986,-0.15715380201837348,0.7937910634255825,-0.9856010244541368,0.5062243794069177,0.5176688831260576,-0.4799008568654054,-0.49543008862699367,-0.24902076742417187,0.7477732070326749,-1.0239286237018468,0.6597558636882173,-0.046942555449484766,-0.03418868830100529,0.7492327611691466,fused,1,4,0.19321610867364203,0.8149384560745422,-0.1652173190584262,-0.41100319006142244,-0.10097544177078645,0.014614532394402498,0.9059065919626713,-0.12503719363377377,0.9918312236899457,-0.025229425714712428,-0.9854116061046851,-0.12710666784254349,-0.11317182310164073,-0.6417606758370573,-0.7476124161182548,-0.17093539778228573,0.7417095806590619,-0.6617255864044546,0.1094812598403917,-0.010344259832887448,-0.5415044252192764,0.8025806400222134,-0.6569487817128232,0.7467700119615532,-0.1036959374371968,-0.7518235318796667,-0.659169688598058,0.016021814676393673,1.696201774328713,-2.2801546929414274
8,1.3583970069885254,direct,direct,direct,0,0,0,3,0,0,7,1,-0.35918093409987306,0.644610909775119,-1.3157596196386594,0.6578790838926439,-0.04080935122152138,0.003050500198882658,0.7520109056908622,1,1,8,-0.16021130606795309,0.7857769449585641,-0.7339941222654309,0.507568472369045,0.5100305754140126,-0.4822468021140324,-0.49968097807560613,1,-0.1609774757419449,0.7867581717293384,-0.7839786216432878,0.507568472369045,0.5100305754140126,-0.4822468021140324,-0.49968097807560613,-0.3735220425481218,0.6591817237817388,-1.0665969739879517,0.6578790838926439,-0.04080935122152138,0.003050500198882658,0.7520109056908622,-0.1640421544379122,0.7906830788124357,-0.9839166191547152,0.507568472369045,0.5100305754140126,-0.4822468021140324,-0.49968097807560613,-0.2559372332982677,0.7397789250252192,-1.024393484206167,0.659206733754294,-0.044803551225641995,-0.021160253428829125,0.7503275069230733,fused,1,4,0.19213308470493962,0.815320005205791,-0.16961461791480018,-0.412569977643224,-0.09580683358857976,0.018841188128634764,0.9056776875992372,-0.1268782479411334,0.991137999166415,-0.039336710688409215,-0.9873457811726304,-0.1299974516956465,-0.09082384573032487,-0.6412141283704001,-0.7509210758008705,-0.15799360587141442,0.7437006174982659,-0.6588620463547423,0.1131821337753451,-0.015602930803501946,-0.5298547899565456,0.8100190275784535,-0.6566953386736469,0.7450674776395098,-0.11672911345591266,-0.751834854543066,-0.6589189167547388,0.023879125548679055,1.698116560543327,-2.2775522082087836
9,1.4542903900146484,direct,direct,direct,0,0,0,3,0,0,7,1,-0.368992481309437,0.6272862068693246,-1.3193446710105232,0.6565529420739239,-0.04676658460421946,0.010868411241308796,0.7527502895752488,1,1,8,-0.1607103497734237,0.7850536274117834,-0.7346122353179294,0.5106989609285635,0.5168817394325202,-0.4765122408126143,-0.4949302204386383,1,-0.16135633711522823,0.7862658929780061,-0.7845933628817527,0.5106989609285635,0.5168817394325202,-0.4765122408126143,-0.4949302204386383,-0.3830264176729975,0.6467291760802083,-1.0704972889097502,0.6565529420739239,-0.04676658460421946,0.010868411241308796,0.7527502895752488,-0.16394028648244643,0.7911149552428969,-0.984517873137046,0.5106989609285635,0.5168817394325202,-0.4765122408126143,-0.4949302204386383,-0.26207837487107666,0.7324790242479359,-1.025483418092198,0.6583560804282166,-0.0454959387312872,-0.009952541220832199,0.7512644926025736,fused,1,4,0.1911153882926101,0.8150011893105554,-0.17339994417158958,-0.4134212193656807,-0.0920471077044086,0.02095057341097325,0.9056330928224731,-0.12899478184430901,0.9901046938406536,-0.05525433459598185,-0.9882934930182393,-0.13293643657288667,-0.07485903745781446,-0.6412204506828935,-0.752672754439617,-0.14939899045946417,0.7449589956907011,-0.6572879377038905,0.11405552020164943,-0.023835353009824423,-0.5226447984642323,0.8151779142070013,-0.6542557931395397,0.744955497503793,-0.1303482408098704,-0.7531817573332835,-0.6573986982248717,0.023327923023524905,1.7003505828978078,-2.2764066717577776
10,1.5441257953643799,direct,direct,direct,0,0,0,3,0,0,7,1,-0.3371170376605116,0.6742453215936175,-1.309467082251581,0.6588579838337777,-0.03962007964521016,-0.010018354657724384,0.7511564677198412,1,1,8,-0.15842581369823816,0.785848768047358,-0.7342894269513989,0.5066350970950162,0.5156740927524746,-0.4808879500320993,-0.4961329337681191,1,-0.15876350367056277,0.7870555338379028,-0.7842737213028186,0.5066350970950162,0.5156740927524746,-0.4808879500320993,-0.4961329337681191,-0.35529781367460905,0.6835346485422755,-1.0603021413221514,0.6588579838337777,-0.03962007964521016,-0.010018354657724384,0.7511564677198412,-0.16011426355986122,0.7918825970000822,-0.9842108987084972,0.5066350970950162,0.5156740927524746,-0.4808879500320993,-0.4961329337681191,-0.2605480571822321,0.7343093837310709,-1.024354003765292,0.6585343523562083,-0.04343956695197967,-0.009975615326859697,0.7512296572211886,fused,1,4,0.1908095999205782,0.8156341786479737,-0.1734799391309603,-0.4141294800258203,-0.09049003547784708,0.022178032111033308,0.9054371663149485,-0.12889102157962776,0.9902877443976199,-0.0521276112250887,-0.9885543987581067,-0.13246598773128035,-0.07220085034384664,-0.6406166545055236,-0.7539502275892361,-0.1454969287933257,0.7459226639390111,-0.6560098173304515,0.11511081177802955,-0.021995034242679568,-0.5183981976299715,0.8155388757892684,-0.6564735278886932,0.7436621753082654,-0.1265269781396519,-0.7517816681255338,-0.658797240650324,0.028469618576819282,1.700223871219865,-2.2751047586168345
