frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z
1,0.8001446723937988,none,none,none,0,0,0,0,0,0,0,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
2,1.0670416355133057,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6693537515891447,0.5149523950834567,-0.1559138457683394,0.9770528111401827,0.05626366781031257,-0.07218717397317005,0.19233100592822966
3,1.3425798416137695,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6635630214913673,0.5248476601734421,-0.15838531718346027,0.9788159082177288,0.036636395962672826,-0.058278058137431414,0.1928233913468467
4,1.5830602645874023,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6647100967394921,0.5239969595784659,-0.15009285899479902,0.97957540969168,0.029060239488524625,-0.04478359895251244,0.19386064188769017
5,1.820009708404541,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6678009883586566,0.5084898704791657,-0.16013750153589626,0.9778217381751741,0.061569996841237956,-0.0543121213861335,0.1926758347888732
6,2.056297540664673,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6606876232651855,0.5211512524337754,-0.14846392456601598,0.9796786949661032,0.04399752972804848,-0.03524034720956305,0.19248893458038507
7,2.2882161140441895,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6648780757170939,0.5237852474990267,-0.15783899751124314,0.9796396497276046,0.021264375139019506,-0.04759597493569025,0.19387781255585776
8,2.518162727355957,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6667620479008576,0.5241317513580066,-0.15165080344725573,0.979739263620804,0.02006285258338304,-0.044487859926726506,0.19424028311635647
9,2.750555992126465,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6725040950348282,0.5121198605647269,-0.15167374626396352,0.977112511930688,0.0520926056212253,-0.07505603824391395,0.192104374211574
10,2.9922966957092285,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6687424456882638,0.5260686345288146,-0.15137177196171384,0.9793015073502198,0.008394606037694114,-0.05604441413161842,0.19431189344891633
11,3.2271337509155273,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6751893616183381,0.51771697027039,-0.1574265985875234,0.9773118416768855,0.03337064177259615,-0.08075805446939535,0.19294066710814947
12,3.4711568355560303,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6689059183127395,0.5101091893603127,-0.15449279009800537,0.9771219322216343,0.06705420590083899,-0.059796945559856346,0.192771336936224
13,3.704855442047119,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6654081658620461,0.5258619643855227,-0.14832040134136923,0.9794636365422765,0.028915490180591082,-0.05143861819821077,0.19279249901605097
14,3.951287269592285,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6644764897402293,0.5216985236868531,-0.1515002601311244,0.9796200715907115,0.03126438549495577,-0.04454317560243412,0.19334673269409777
15,4.20257830619812,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6696952371353334,0.5164238200641504,-0.15535766453157696,0.9774444917438454,0.05072225160043891,-0.0729825650843052,0.19158043727351934
16,4.449785232543945,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6678187609664279,0.507887530641213,-0.16015531413660633,0.9775534496067741,0.06171251827807289,-0.057363015749922995,0.1931069721003069
