frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.6204867362976074,direct,direct,direct,0,0,0,3,0,0,7,1,-0.41647586153218513,0.7017598777175897,-1.2530170512137195,0.7026369661464669,-0.0288453203748741,-0.03256947952880154,0.7102171993835286,1,0,-1,,,,,,,,0,,,,,,,,-0.4381613430007103,0.7003280696472897,-1.0039634629658727,0.7026369661464669,-0.0288453203748741,-0.03256947952880154,0.7102171993835286,,,,,,,,-0.4381613430007103,0.7003280696472897,-1.0039634629658727,0.7026369661464669,-0.0288453203748741,-0.03256947952880154,0.7102171993835286,head,1,5,0.33249059689388727,1.0730177265243492,-0.20643117553759746,0.7931376722997612,-0.024692230794793133,0.18515546894251744,0.5796898988579755,-0.010938482593919057,0.9999286707026677,0.004796155266245569,-0.9961707624168631,-0.010481045615424274,-0.08679838586409803,0.2593541469654136,0.9104039909277035,-0.32233522884530075,-0.928691597215891,0.32669982980081375,0.17549683321563656,0.36805839903555393,-0.8408316230402372,0.7255307980312959,0.9059561418231774,-0.23992482650498112,-0.3488259547674413,0.33767671346361805,0.9064784187826173,0.253517876028056,1.5817351533520991,1.293269928185903
2,0.76296067237854,direct,direct,direct,0,0,0,3,0,0,9,1,-0.44250795692404765,0.6656598476087406,-1.2819584955071868,0.6908770273642298,-0.030429609342099866,-0.009387287992115367,0.7222706215538645,1,1,7,-0.4093105654788871,0.7567450066314896,-0.6945605072503139,0.4941037485958123,0.5033082641085711,0.48644705045314046,0.5156661167936315,1,-0.40831459140015963,0.7586680819043902,-0.7445135834031322,0.4941037485958123,0.5033082641085711,0.48644705045314046,0.5156661167936315,-0.45673989416212984,0.6727813254654179,-1.0324655366574667,0.6908770273642298,-0.030429609342099866,-0.009387287992115367,0.7222706215538645,-0.40433069508524977,0.7663603829959926,-0.9443258880144053,0.4941037485958123,0.5033082641085711,0.48644705045314046,0.5156661167936315,-0.4366361333253062,0.7041766265639728,-1.0008499128398856,0.700331576171609,-0.029164036644712836,-0.027935798023897843,0.7126743531040974,fused,1,5,0.33214037277596975,1.0737516759528798,-0.2101048566004636,0.7940707841314688,-0.030790064217260247,0.1819680599252546,0.5791296805564107,-0.017370284767151387,0.9998461472874854,-0.0024402789759734923,-0.9965872647384121,-0.01751054921151524,-0.0806672450720927,0.26299287653133685,0.9085343026052942,-0.32465392017236455,-0.9309455356076494,0.32732157008825347,0.16186722795904882,0.3542346838957099,-0.8364115627415079,0.7265082682728394,0.9046185071172079,-0.2518153487420122,-0.34388135558499244,0.3430469986397558,0.9089795011437296,0.2368016537627025,1.588167536921782,1.2890284154660823
3,0.9468388557434082,direct,direct,direct,0,0,0,3,0,0,9,1,-0.4563884569251337,0.6683023495870132,-1.287705137803957,0.6917173468414621,-0.03266753901286206,-0.007124567901947729,0.7213939177076988,1,1,7,-0.4028067504881556,0.7678904889249032,-0.6951184526301691,0.48965726374600665,0.4981920488829835,0.4917972416050989,0.5197844934587456,1,-0.40185607275071866,0.7697276126459421,-0.7450756461889865,0.48965726374600665,0.4981920488829835,0.4917972416050989,0.5197844934587456,-0.4706356325035761,0.6770308913185413,-1.0382641015904301,0.6917173468414621,-0.03266753901286206,-0.007124567901947729,0.7213939177076988,-0.3980533618009709,0.777076107530098,-0.9449044204242557,0.48965726374600665,0.4981920488829835,0.4917972416050989,0.5197844934587456,-0.4361778060906997,0.7087520011360422,-0.9989967824733771,0.6986422637426252,-0.029866059916685065,-0.023775279882064886,0.714452057064827,fused,1,5,0.3315612333046237,1.074357849130457,-0.21385541285828635,0.7948062231920581,-0.03625928474301677,0.17937275782049528,0.5786136410394861,-0.022014011555266617,0.9997129528336789,-0.009454905171953321,-0.9968726570997042,-0.022667446758219578,-0.07570397865659806,0.2660633363097975,0.9067635896420911,-0.32709340190699193,-0.9327793012459054,0.3277830373459073,0.14993683868713623,0.34117644859079144,-0.8330637327428507,0.7274209834036636,0.9037388214606072,-0.2610230084977834,-0.33929799825486645,0.3468055238784407,0.9110813607375169,0.22283779464910294,1.5928131010760014,1.2853863325847923
4,1.1006598472595215,direct,direct,direct,0,0,0,3,0,0,9,1,-0.35997578790754003,0.7436260373125695,-1.282536371854176,0.697938179270158,-0.036920079438707676,-0.039736215815796574,0.7141010004221648,1,1,7,-0.3966514425977663,0.767757688136449,-0.6931557796185603,0.4942422227775427,0.5012157922923648,0.48438363570944665,0.5194996133179975,1,-0.3952536510104869,0.7698674000045301,-0.7430916914908012,0.4942422227775427,0.5012157922923648,0.48438363570944665,0.5194996133179975,-0.3870248317977451,0.7423221680900244,-1.034007401410736,0.697938179270158,-0.036920079438707676,-0.039736215815796574,0.7141010004221648,-0.38966248466136905,0.7783062474768547,-0.9428353389797648,0.4942422227775427,0.5012157922923648,0.48438363570944665,0.5194996133179975,-0.42661097651847124,0.7190644424655217,-0.9968817000177518,0.6985185075290202,-0.031277523959615465,-0.026967891546682478,0.714399288885363,fused,1,5,0.33258338739972193,1.0767678379309547,-0.21375957082965663,0.7953252388680088,-0.04348365252036145,0.1781780452113266,0.5777711662827281,-0.02218722226877142,0.9997292278519779,-0.007014139040902109,-0.9963552723560111,-0.02268925492991247,-0.08222754379832266,0.2688661272339336,0.9035363172602642,-0.3336661939993106,-0.9345276460791705,0.3285793027515694,0.1367249813202298,0.33526919775110353,-0.8289375399391199,0.7197674558326157,0.8996666533432994,-0.26095019768712646,-0.3500070101999619,0.3482658971984925,0.912423768378776,0.21492727082899962,1.5929859157678021,1.2815695393068878
5,1.2487671375274658,direct,direct,direct,0,0,0,3,0,0,9,1,-0.41231974100184415,0.6704243284129747,-1.297756916280553,0.6947870461894421,-0.03773157010130211,-0.006229726400191239,0.7181980782305251,1,1,7,-0.398181741254813,0.7636392143408467,-0.6968976116798619,0.49269523025398265,0.499548864425957,0.48740967138968017,0.5197443163436383,1,-0.3969226814786946,0.7656075365729246,-0.7468429866015788,0.49269523025398265,0.499548864425957,0.48740967138968017,0.5197443163436383,-0.4280332781716105,0.6812949427181019,-1.0484881567172182,0.6947870461894421,-0.03773157010130211,-0.006229726400191239,0.7181980782305251,-0.3918864423742209,0.7734808255012362,-0.9466244862884464,0.49269523025398265,0.499548864425957,0.48740967138968017,0.5197443163436383,-0.42328075326936015,0.7207291307943512,-0.9970166243147679,0.697800219409818,-0.03256948113956436,-0.02282166934382935,0.7151875656764949,fused,1,5,0.33254914915208544,1.0778228582884433,-0.2181635327332614,0.795556465544374,-0.049511295791900514,0.1785072653622871,0.5768654071206112,-0.02402816537981895,0.9996026603549981,-0.014736644112258286,-0.9966295006379292,-0.025108050399941288,-0.0780975304558782,0.27072291656089964,0.9001817567346685,-0.34114792581935277,-0.9355342608000905,0.3295498673131574,0.12717126964495248,0.32731295327841314,-0.8230748085653657,0.7216792916506312,0.8983464793962121,-0.26576944353389836,-0.3497716481364841,0.35002401828079754,0.9141749263888652,0.20437071852023214,1.5948294151580065,1.2786584742682765
6,1.4103426933288574,direct,direct,direct,0,0,0,3,0,0,9,1,-0.42711008740193,0.6808424143766206,-1.2808369981571943,0.6944662545079094,-0.03055067727927049,-0.009340121134641274,0.7188157201986637,1,1,7,-0.3962181298402754,0.7586815828383728,-0.6969795509454146,0.49516619030656367,0.49752730689708907,0.4868609559626828,0.5198494324591656,1,-0.39469960556523753,0.7604592681920115,-0.746924860222759,0.49516619030656367,0.49752730689708907,0.4868609559626828,0.5198494324591656,-0.4413334404179701,0.6880937086379582,-1.0313472890297102,0.6944662545079094,-0.03055067727927049,-0.009340121134641274,0.7188157201986637,-0.38862550846508614,0.7675700096065662,-0.9467060973321363,0.49516619030656367,0.49752730689708907,0.4868609559626828,0.5198494324591656,-0.4216204975037938,0.7221496764599334,-0.995418638087999,0.6971451776911871,-0.032166281380518184,-0.020125833949674245,0.7159251932792299,fused,1,5,0.3331051407011601,1.0792825026574313,-0.2193820201127221,0.7957116642725683,-0.05423437761961892,0.179044545340817,0.5760595719268037,-0.025907863128144925,0.9995023386401777,-0.017996046258785158,-0.9969128456888064,-0.027167104059506945,-0.07366631901802463,0.27219684075041484,0.8973339024305466,-0.3474201310146821,-0.9361753803615336,0.3304280037514405,0.11997079453673268,0.3234361755800651,-0.8192657094190103,0.7235884290440946,0.8960874842753469,-0.27014132839884136,-0.3522085791345646,0.3523588661519302,0.9154706837147384,0.19431072204846353,1.5967112867588564,1.2762785698781234
7,1.5425164699554443,direct,direct,direct,0,0,0,3,0,0,9,1,-0.41848800181708307,0.682675780569973,-1.2775993105707455,0.6947178231259541,-0.02795920969697277,-0.008819002648836996,0.7186846693902245,1,1,7,-0.39250674550938847,0.7588305081108461,-0.6951793318330455,0.4942965144234806,0.49571845919946717,0.4878940604343142,0.5214341289469092,1,-0.3909182474545054,0.7605935422730177,-0.7451229839269067,0.4942965144234806,0.49571845919946717,0.4878940604343142,0.5214341289469092,-0.4315982886669945,0.689218620216959,-1.0280290566780452,0.6947178231259541,-0.02795920969697277,-0.008819002648836996,0.7186846693902245,-0.384564255234973,0.7676456789217039,-0.9448975923023516,0.4942965144234806,0.49571845919946717,0.4878940604343142,0.5214341289469092,-0.41891265239323183,0.723406171081813,-0.9936275753684389,0.6966685895602215,-0.03132529773987033,-0.01786478132246026,0.7164861838374701,fused,1,5,0.33335093496715085,1.0807540121555728,-0.22139677628141766,0.79571063291011,-0.05886289520736031,0.1798576651057529,0.5753529078264107,-0.027343204083360342,0.9994260774548391,-0.019996622056984104,-0.9971875990789036,-0.028667451816945157,-0.06924643997761983,0.2732405035168009,0.89445496707973,-0.3539631889113386,-0.9368027386531717,0.331008382047002,0.11328759802618711,0.32113144686752104,-0.8138664062481037,0.7241784711385295,0.8935484164677365,-0.2736030956289787,-0.35596709607805055,0.35416822806127973,0.9168341440678321,0.18433669874265227,1.5981484096993954,1.2743171685700956
8,1.6777920722961426,direct,direct,direct,0,0,0,3,0,0,9,1,-0.38436855260594466,0.7140853885150197,-1.2805245837326313,0.6942839036073021,-0.03520583869897347,-0.027563581956797804,0.7183109765714424,1,1,7,-0.39316211496645703,0.7569964467102307,-0.6968626305542576,0.4952120449534067,0.49477403127618996,0.4861865033668043,0.5230548465043925,1,-0.39131505457272087,0.7588352181579333,-0.7467946572251729,0.4952120449534067,0.49477403127618996,0.4861865033668043,0.5230548465043925,-0.40658139843356556,0.7164072003392686,-1.031524184797025,0.6942839036073021,-0.03520583869897347,-0.027563581956797804,0.7183109765714424,-0.3839268129977761,0.7661903039487435,-0.9465227639088345,0.4952120449534067,0.49477403127618996,0.4861865033668043,0.5230548465043925,-0.41418094305771963,0.7269846872942517,-0.9927067551653371,0.6961982458006297,-0.03210168732443753,-0.01980467362505738,0.7168579072017376,fused,1,5,0.3334018932834265,1.080965236599487,-0.22200442513042282,0.7965292738922525,-0.0614088454743757,0.1760300243912148,0.5751378096100216,-0.028554968430099834,0.999421961844869,-0.01844873871324364,-0.9968789080837728,-0.029831554893461648,-0.07309255058037174,0.2764598609396292,0.8946086026199208,-0.3510632327767651,-0.9378478048866833,0.33089090730898135,0.10465515911539179,0.3182102448384544,-0.8121419508222347,0.7192580203195929,0.892673855965702,-0.2766244628410637,-0.35582621240321427,0.35554909851463556,0.9174001929079254,0.17877842318895684,1.5993600398550563,1.2710769117304732
9,1.8308520317077637,direct,direct,direct,0,0,0,3,0,0,9,1,-0.36873081105626004,0.7174787591062239,-1.2814538903032788,0.6935781467782159,-0.037085264039438466,-0.03537825742931099,0.7185557851719558,1,1,7,-0.3912349633636478,0.7585437329308192,-0.6911949467968522,0.49328972517370157,0.49952991824389703,0.4850106528943628,0.5214400966518431,1,-0.38974059234522823,0.760686724292523,-0.7411266445777506,0.49328972517370157,0.49952991824389703,0.4850106528943628,0.5214400966518431,-0.3943235196783761,0.7176288976862841,-1.0327673592570836,0.6935781467782159,-0.037085264039438466,-0.03537825742931099,0.7185557851719558,-0.38376310827154986,0.7692586897393383,-0.940853435701344,0.49328972517370157,0.49952991824389703,0.4850106528943628,0.5214400966518431,-0.4091534172411683,0.7302765085779637,-0.9915274836281125,0.6956896834290874,-0.03309907013651013,-0.022919691312414177,0.7172133599401075,fused,1,5,0.33405787563940326,1.0819452881941676,-0.22323437065079316,0.796738055710288,-0.06501765680601765,0.17554401016081303,0.5746002744370258,-0.02984063185286917,0.9994331115962043,-0.015588205020147764,-0.9963986297151773,-0.03098110424095969,-0.078929980880065,0.2780376502271101,0.892784890517132,-0.3544435135822066,-0.9384387313450832,0.33121445784069925,0.09813118988742792,0.31731521752266045,-0.8120711616522134,0.7114490459700629,0.8895071001117312,-0.2767195757032787,-0.3635978482794094,0.357500611797086,0.9170521833978623,0.1766595751436168,1.6006450168840047,1.2688889571037083
10,1.9646501541137695,direct,direct,direct,0,0,0,3,0,0,9,1,-0.357060265548732,0.7035644655796877,-1.2943961987225752,0.6944141625172083,-0.043463100758038824,-0.03519324113831607,0.7173990281190805,1,1,7,-0.3939507535754707,0.7576257083476465,-0.6946372433857465,0.49336519950863883,0.498255830972078,0.48606865826467094,0.5216024983346109,1,-0.3924353558332794,0.7596585122843049,-0.7445729147824351,0.49336519950863883,0.498255830972078,0.48606865826467094,0.5216024983346109,-0.3848698012058263,0.7060313634418407,-1.0459600013972368,0.6944141625172083,-0.043463100758038824,-0.03519324113831607,0.7173990281190805,-0.38637376486451397,0.7677897280309384,-0.9443156003691898,0.49336519950863883,0.498255830972078,0.48606865826467094,0.5216024983346109,-0.40444709039996873,0.7316033160096489,-0.9922495470791327,0.6954490440842365,-0.035172477806818016,-0.025374775455888197,0.7172653934617326,fused,1,5,0.33425728539223437,1.081988162465632,-0.22363781138434563,0.7974714025179226,-0.06735325442508153,0.1719932953522981,0.5743876806115404,-0.03022704777450191,0.999428051928481,-0.015162275596963879,-0.99585807702218,-0.03141349570577109,-0.08532222874039246,0.28099419743110443,0.8929468821300603,-0.3516932281182761,-0.9392841148551465,0.3310846629600906,0.09015707145525186,0.31620168909679336,-0.8122311983593076,0.7067635162573291,0.8892750075030653,-0.2778736740994501,-0.36328526294483293,0.35792009917473944,0.9173007434857158,0.17450658614304407,1.601031456115232,1.2659249387492582
