frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.5588610172271729,direct,direct,direct,0,0,0,3,0,0,7,1,-0.36578885181685894,0.6904124618729174,-1.2784190357673786,0.6594255305056252,-0.028925751767157604,-0.0026574908412989088,0.7512084985837874,1,0,-1,,,,,,,,0,,,,,,,,-0.3775296957484845,0.6989514866226372,-1.028840916453812,0.6594255305056252,-0.028925751767157604,-0.0026574908412989088,0.7512084985837874,,,,,,,,-0.3775296957484845,0.6989514866226372,-1.028840916453812,0.6594255305056252,-0.028925751767157604,-0.0026574908412989088,0.7512084985837874,head,1,5,0.31822260201119384,0.7383100742235373,-0.18248327268095058,-0.4643698475592282,-0.048597677998491726,0.007276623883690758,0.8842770839029074,-0.12864254120415897,0.9908858652386937,-0.039953706495152785,-0.9905783855570982,-0.13030181491960652,-0.04214141781844851,-0.5639978207419479,-0.8219704833530552,-0.07918953652268693,0.820555975255392,-0.5686153908453491,0.058003696144840786,-0.08431860039217698,-0.7299923943495632,0.8135988552402564,-0.7387609052043933,0.6691254558649816,-0.0806439660177117,-0.671308822054348,-0.7411777538036005,-5.194856428592652e-05,1.6999000131916395,-2.1721686783997276
2,0.6806445121765137,direct,direct,direct,0,0,0,3,0,0,8,1,-0.37787040793657944,0.6615992481664202,-1.2941160266696348,0.6590082795651301,-0.034392734495342206,0.011189396715899242,0.7512656152651168,1,1,8,-0.16398990559336002,0.7835210129210395,-0.7384125851377327,0.637341285133785,0.19376476020467018,-0.26277000755910396,-0.6979994463423526,1,-0.20338473525844364,0.7859958138601799,-0.7691033452451441,0.637341285133785,0.19376476020467018,-0.26277000755910396,-0.6979994463423526,-0.38710249481766773,0.6771349010651859,-1.044770058062101,0.6590082795651301,-0.034392734495342206,0.011189396715899242,0.7512656152651168,-0.36096405391877806,0.7958950176167415,-0.8918663856747899,0.637341285133785,0.19376476020467018,-0.26277000755910396,-0.6979994463423526,-0.37403327436822287,0.7365149593409637,-0.9683182218684455,0.6590082795651301,-0.034392734495342206,0.011189396715899242,0.7512656152651168,fused,1,5,0.3150915187958453,0.7374323421038698,-0.20592136349623497,-0.46638955627417905,-0.04347842029046888,0.019348942575958292,0.8832983794780855,-0.12905045455708083,0.9894108533237804,-0.06642396784081904,-0.9909501891254334,-0.1311657697314831,-0.028517775562200434,-0.5611808175348394,-0.8256048014399588,-0.05876054688492506,0.8222397556099841,-0.5642128004391334,0.07473754153746506,-0.13866562374456304,-0.7047505358295785,0.7350111011677463,-0.7405386028327428,0.6660690466325714,-0.08918858016869509,-0.6693130466106412,-0.7429245835018445,0.009116406385863732,1.7004957483959509,-2.1677820919446424
3,0.7683396339416504,direct,direct,direct,0,0,0,3,0,0,8,1,-0.3416024158076623,0.7105359934947736,-1.2836577750372344,0.66029062911558,-0.033129973656062656,-0.013889721813055096,0.7501504952845505,1,1,8,-0.16623680796210394,0.7870743164592376,-0.7277959249060225,0.5100367153454082,0.5139444313168314,-0.47428773619718934,-0.5007742144030891,1,-0.16740237742044567,0.7885656856884988,-0.7777600847174293,0.5100367153454082,0.5139444313168314,-0.47428773619718934,-0.5007742144030891,-0.35861427545818336,0.7162640082200318,-1.0343030348004822,0.66029062911558,-0.033129973656062656,-0.013889721813055096,0.7501504952845505,-0.17206465525381257,0.7945311626055438,-0.9776167239630563,0.5100367153454082,0.5139444313168314,-0.47428773619718934,-0.5007742144030891,-0.26533946535599795,0.7553975854127878,-1.0059598793817692,0.66029062911558,-0.033129973656062656,-0.013889721813055096,0.7501504952845505,fused,1,5,0.31557803548461827,0.7366618157622694,-0.16974816565089174,-0.46130883171277864,-0.09058622221372122,0.0008970416729163426,0.882602681530639,-0.12583737989540048,0.9915550171611124,-0.031362425985353916,-0.9897143526900866,-0.12764672146021475,-0.06458958569074422,-0.5579765962576754,-0.8144673429995652,-0.15907565877885987,0.8141423045342938,-0.5743867142000563,0.08515991144929322,-0.11790431061848394,-0.6265613968805149,0.794094195612053,-0.7323858687745569,0.6664761627456983,-0.13935732385170094,-0.6746563841400979,-0.7379501864098008,0.016379429683214486,1.6970306316708452,-2.1714396204122752
4,0.8769218921661377,direct,direct,direct,0,0,0,3,0,0,7,1,-0.3297223538298668,0.7055363325616838,-1.2947718671489987,0.6592509746912417,-0.03800979788621449,-0.016125160315932446,0.7507885100599784,1,0,-1,,,,,,,,0,,,,,,,,-0.34930627741886827,0.7120120381697972,-1.0456242499142814,0.6592509746912417,-0.03800979788621449,-0.016125160315932446,0.7507885100599784,,,,,,,,-0.34930627741886827,0.7120120381697972,-1.0456242499142814,0.6592509746912417,-0.03800979788621449,-0.016125160315932446,0.7507885100599784,head,1,5,0.3246636585617277,0.7448127273608425,-0.17370943674803357,-0.4643089678855723,-0.06479489778440516,0.010790076350809549,0.8832340447551186,-0.12788681526659357,0.9911419422570349,-0.03581358373468178,-0.9886902859190687,-0.13025626314686684,-0.07432916278476248,-0.5604376071242858,-0.8215852592317703,-0.1044382608715275,0.8187886916548237,-0.5686015131867567,0.07923002978614084,-0.08490812407664583,-0.7354287219904596,0.8169957200457625,-0.7388947204331433,0.6688786522448664,-0.08146128336281806,-0.6711145976082947,-0.7413536191135636,9.112781608350905e-05,1.6991171055933982,-2.169436071866271
5,0.9554932117462158,direct,direct,direct,0,0,0,3,0,0,7,1,-0.3537607891356591,0.7071365674070256,-1.2817770925785772,0.6605741654736426,-0.02814409816940511,-0.007554087565698096,0.7501950529082964,1,0,-1,,,,,,,,0,,,,,,,,-0.3668125882880986,0.7135986799271457,-1.032201669828937,0.6605741654736426,-0.02814409816940511,-0.007554087565698096,0.7501950529082964,,,,,,,,-0.3668125882880986,0.7135986799271457,-1.032201669828937,0.6605741654736426,-0.02814409816940511,-0.007554087565698096,0.7501950529082964,head,1,5,0.30912688177657055,0.7290369393788902,-0.17574732716442187,-0.45775401502579444,-0.11347459174560881,-0.012974350613863117,0.8817122234505319,-0.12569936329406306,0.9915441479987643,-0.03224705625125467,-0.9906937360706475,-0.1271694153397009,-0.04851660656457167,-0.5551695575118641,-0.8042701024854576,-0.21198199135802048,0.8101591390417477,-0.5805858559078265,0.08100761289477852,-0.09727557656232522,-0.7131645317678943,0.8201099688138527,-0.7208490584307589,0.6625662086658849,-0.2034272697884984,-0.680125252830471,-0.7327170349023009,0.023566654965602934,1.6968950111514558,-2.1749672776083426
6,1.0335791110992432,direct,direct,direct,0,0,0,3,0,0,8,1,-0.3663711702932449,0.6697439383792806,-1.2965782766822043,0.6590783736816562,-0.036372204993144676,0.007427693978724182,0.7511574997370647,1,1,8,-0.16667154227970737,0.785041840572402,-0.7363136847722204,0.5133754763946162,0.513199524132927,-0.47314948105908144,-0.49920079851684934,1,-0.1680172782028972,0.7862993594534143,-0.7862797496671962,0.5133754763946162,0.513199524132927,-0.47314948105908144,-0.49920079851684934,-0.3775840813406809,0.6845196892552646,-1.0472673306491567,0.6590783736816562,-0.036372204993144676,0.007427693978724182,0.7511574997370647,-0.17340022189565646,0.7913294349774636,-0.9861440092470993,0.5133754763946162,0.513199524132927,-0.47314948105908144,-0.49920079851684934,-0.27549215161816865,0.7379245621163641,-1.016705669948128,0.6590783736816562,-0.036372204993144676,0.007427693978724182,0.7511574997370647,fused,1,5,0.3176023023674595,0.7401474328126328,-0.2024284638745343,-0.4664183330903584,-0.053893411396610476,0.01699326456491955,0.8827574229224434,-0.12858552009815968,0.9896030033949259,-0.06443337406055422,-0.990683649827008,-0.13112105341460342,-0.03678553135245417,-0.5590988775304949,-0.8253001414415908,-0.07929767764967524,0.8216368414489164,-0.5643303350332765,0.08027561108505521,-0.126530227123813,-0.6178140632075471,0.7855629992308945,-0.7397180617931651,0.6650213477424958,-0.10278032936179521,-0.6692860235222968,-0.742939577923975,0.009848973137283331,1.7000088552905173,-2.166226623583612
7,1.1365337371826172,direct,direct,direct,0,0,0,3,0,0,8,1,-0.3467381970833229,0.698148954870735,-1.2882315396167328,0.6610774462041206,-0.03396978375716241,-0.00479435190082049,0.7495329733251106,1,1,8,-0.16547344444177847,0.7862215575800219,-0.7346804391352948,0.5115246659415376,0.514786479386508,-0.47408496995415117,-0.498578818280334,1,-0.16657172752714033,0.7875801533197189,-0.784649909733656,0.5115246659415376,0.514786479386508,-0.47408496995415117,-0.498578818280334,-0.36105365255008054,0.7075805214001861,-1.0388200056260615,0.6610774462041206,-0.03396978375716241,-0.00479435190082049,0.7495329733251106,-0.17096485986858778,0.7930145362785068,-0.9845277921271008,0.5115246659415376,0.514786479386508,-0.47408496995415117,-0.498578818280334,-0.26600925620933413,0.7502975288393465,-1.0116738988765812,0.6610774462041206,-0.03396978375716241,-0.00479435190082049,0.7495329733251106,fused,1,5,0.32999900515325203,0.7491984052721978,-0.1924711711037796,-0.4653385974076553,-0.0220286995990915,0.018878975545118453,0.8846571711341157,-0.12364532782345959,0.9913244138977437,-0.044584070223837466,-0.990672961508437,-0.12590724862017896,-0.052100365459360115,-0.5659494523132981,-0.8241620129663908,-0.021405462140873424,0.8224984958423027,-0.5662071480900855,0.05390445054762094,-0.11130661683025389,-0.6329916432456024,0.7831044512110136,-0.7460805762706444,0.6655540238575255,-0.020040335294585838,-0.6653963451864339,-0.7463458781206458,-0.01468107710144665,1.6948829172356663,-2.172538088506522
8,1.2203822135925293,direct,direct,direct,0,0,0,3,0,0,7,1,-0.35543905971050715,0.7143416565976723,-1.2759916872818808,0.6602953884511713,-0.028004256007745254,-0.011205827687337288,0.7504000206965691,1,0,-1,,,,,,,,0,,,,,,,,-0.3696458350272728,0.7193827704828825,-1.0264465917462338,0.6602953884511713,-0.028004256007745254,-0.011205827687337288,0.7504000206965691,,,,,,,,-0.3696458350272728,0.7193827704828825,-1.0264465917462338,0.6602953884511713,-0.028004256007745254,-0.011205827687337288,0.7504000206965691,head,1,5,0.31613055496551856,0.7345080445815597,-0.17709375045367437,-0.45902572169034955,-0.08993982835596204,-0.011963470960706064,0.8837777375927311,-0.12645152327113937,0.9915989680538853,-0.02723047588415348,-0.9903437245845462,-0.12776885883191733,-0.05379986885484043,-0.5624124282039081,-0.8092014425752407,-0.16995671783114064,0.8135054126742304,-0.5783045243784521,0.06142329064078501,-0.09484754501214532,-0.726781954781739,0.8091416522517254,-0.7266574048460694,0.6695160129133916,-0.15400430005338223,-0.6779877536510591,-0.735065236201423,0.0034211733860361284,1.6976345789271177,-2.17817321848402
9,1.2958133220672607,direct,direct,direct,0,0,0,3,0,0,7,1,-0.3695767601580413,0.6935711519557061,-1.2826463201646232,0.6602696539483285,-0.027808004103006087,0.001126251772570261,0.7505127783986804,1,0,-1,,,,,,,,0,,,,,,,,-0.379640076434509,0.7031741757522529,-1.0330335969322473,0.6602696539483285,-0.027808004103006087,0.001126251772570261,0.7505127783986804,,,,,,,,-0.379640076434509,0.7031741757522529,-1.0330335969322473,0.6602696539483285,-0.027808004103006087,0.001126251772570261,0.7505127783986804,head,1,5,0.3209996314165312,0.7442946111734013,-0.1907249401476612,-0.4655665994711012,-0.047002105575934684,0.012569902079248331,0.8836744542477518,-0.1265413979655238,0.9910189873263654,-0.043227784578405246,-0.9911442625820155,-0.12808543126379807,-0.03503102979815481,-0.5620770870566877,-0.8240002451364302,-0.07136486685317801,0.8216369976779978,-0.5661794780372663,0.06598062364159414,-0.08431993299615059,-0.7292088949334355,0.8143803166644878,-0.7423889230404435,0.6651418915020987,-0.0802804528877445,-0.6679179034609579,-0.7441528227494342,0.011056700699837815,1.697797250351981,-2.1694295432320447
10,1.3662798404693604,direct,direct,direct,0,0,0,3,0,0,7,1,-0.37339360643835334,0.6875664875750126,-1.2821715426730043,0.6603796895049538,-0.028948575551077736,0.005054844958308832,0.7503566446732858,1,0,-1,,,,,,,,0,,,,,,,,-0.3825854259756104,0.6990214814931585,-1.0326033284149987,0.6603796895049538,-0.028948575551077736,0.005054844958308832,0.7503566446732858,,,,,,,,-0.3825854259756104,0.6990214814931585,-1.0326033284149987,0.6603796895049538,-0.028948575551077736,0.005054844958308832,0.7503566446732858,head,1,5,0.3259549794966922,0.7450446129909849,-0.1813477592595712,-0.4639929512487667,-0.043484776098968274,0.010479802297425296,0.8847088725580236,-0.12612129132580852,0.9907479149322974,-0.050119745925282976,-0.9913332371769964,-0.1277462284635764,-0.030648229663542203,-0.5656392308781645,-0.8219087852612629,-0.0672176256789407,0.8200859378354027,-0.5692014298705331,0.05889640734347654,-0.08642942216810456,-0.7343684114843346,0.82584300568299,-0.7395963347185136,0.667792818508209,-0.08396435684147899,-0.6703173002706182,-0.7420701822342874,0.002561561375725607,1.697414379938966,-2.1735601742136663
