frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.573127269744873,direct,direct,direct,0,0,0,3,0,0,7,1,-0.3492061143725477,0.6315355305185278,-1.3197808757227674,0.6563375315630505,-0.04942809096489361,0.0038965785339542826,0.7528364531297729,1,0,-1,,,,,,,,0,,,,,,,,-0.3665330133477823,0.6492230293068358,-1.07101003547312,0.6563375315630505,-0.04942809096489361,0.0038965785339542826,0.7528364531297729,,,,,,,,-0.3665330133477823,0.6492230293068358,-1.07101003547312,0.6563375315630505,-0.04942809096489361,0.0038965785339542826,0.7528364531297729,head,1,5,0.3258463078792161,0.7396539643604512,-0.2141945360347901,-0.46612758453047215,-0.0010237769870026158,0.03365784165232012,0.8840764539991866,-0.13355581697057578,0.9878444377592986,-0.07953747884700682,-0.9886148395122106,-0.13841172267490073,-0.05901604970185698,-0.565448053640937,-0.8242537603332436,0.02956750260309962,0.8241159278383796,-0.5631844492701893,0.060466631982597455,-0.07128853436828186,-0.7475790391404495,0.8110136889477575,-0.7410673403017957,0.6713517624885317,0.010296025522735012,-0.6712134651272743,-0.7403504076905831,-0.036793451376882905,1.705180723169006,-2.1720726202663525
2,0.6949717998504639,direct,direct,direct,0,0,0,3,0,0,8,1,-0.25247056458169537,0.7691155174716194,-1.278744109919876,0.6600065539050451,-0.044655649242417675,-0.05771222854626423,0.7477075099725485,1,1,8,-0.17292796775259145,0.7852745512555032,-0.7261382227342447,0.5137984115260923,0.5105523450174768,-0.47145992229224476,-0.5030636510250073,1,-0.17470480134110167,0.7866482246540487,-0.776087756103365,0.5137984115260923,0.5105523450174768,-0.47145992229224476,-0.5030636510250073,-0.2882104712728233,0.7622760947054128,-1.031406524086395,0.6600065539050451,-0.044655649242417675,-0.05771222854626423,0.7477075099725485,-0.1818121356951425,0.7921429182482308,-0.9758858895798465,0.5137984115260923,0.5105523450174768,-0.47145992229224476,-0.5030636510250073,-0.3270765003886425,0.6876189724578317,-1.0508008868811203,0.6577040567047568,-0.04801658296257897,-0.014581970723086125,0.7516030519393431,fused,1,5,0.3261521082837464,0.7404370419473962,-0.20545827551125723,-0.4657170817975011,-0.013599703094294873,0.029535480166858506,0.8843360804632364,-0.13023956310940749,0.9900651053983299,-0.05299757799809859,-0.9872643997703979,-0.1344254798478742,-0.08508111020470076,-0.5658452955955333,-0.8245041849651906,0.0034569390058496827,0.8228974899211235,-0.5644705102666652,0.06490580960749354,-0.0775839920491268,-0.7239321324682603,0.7835843834635599,-0.7428005880976467,0.6691791666110262,0.021131239801826802,-0.669476215519773,-0.742060435597115,-0.03388077293601371,1.7015917915497043,-2.1722585287137135
3,0.794154167175293,direct,direct,direct,0,0,0,3,0,0,8,1,-0.2718438365836729,0.7644623290681243,-1.2776816644077247,0.6600458324365985,-0.04051572448399008,-0.05223227147917696,0.7483112754520947,1,1,8,-0.17031645429752462,0.7848366346399352,-0.7284332385520395,0.5123522525953191,0.5116095930356891,-0.47320589294427456,-0.5018236507550942,1,-0.1718178346533915,0.7861937698542667,-0.7783922621717725,0.5123522525953191,0.5116095930356891,-0.47320589294427456,-0.5018236507550942,-0.3042408698701769,0.7582904477698563,-1.0298665314648932,0.6600458324365985,-0.04051572448399008,-0.05223227147917696,0.7483112754520947,-0.1778233560768591,0.7916223107115923,-0.9782283566507045,0.5123522525953191,0.5116095930356891,-0.47320589294427456,-0.5018236507550942,-0.30126318416410514,0.7138201944926994,-1.0367748540341237,0.6585094711777693,-0.04577395681219592,-0.02587875202799991,0.7507331825891296,fused,1,5,0.3254583241130726,0.7398649198875175,-0.1968791482798324,-0.46481251377050414,-0.028440608311895686,0.023466115262363044,0.8846410573083796,-0.12854004249385997,0.9910989678801088,-0.03464524992923672,-0.986360676369376,-0.13139113312529624,-0.0991412439310569,-0.5662809176823884,-0.8237192484497664,-0.028504771568003053,0.8210496860786519,-0.5667973369536768,0.06795727931846335,-0.08384430548858957,-0.7048638018219086,0.7713754770025507,-0.7426099688040372,0.6696126329224265,0.01222113184459835,-0.6696444141166031,-0.7421163485444622,-0.028977299140302337,1.6997708539973908,-2.1730621850291043
4,0.8779752254486084,direct,direct,direct,0,0,0,3,0,0,8,1,-0.29196942795498465,0.7559294583653019,-1.2764380669780198,0.6605189652526063,-0.037156029389467465,-0.043451977500476094,0.7486294488416372,1,1,8,-0.17130338268322043,0.7857185405340829,-0.7285668432644535,0.5124521333921134,0.5095495191805929,-0.47329551006158116,-0.5037295491037288,1,-0.17300036093408452,0.7870569576478248,-0.7785201104693695,0.5124521333921134,0.5095495191805929,-0.47329551006158116,-0.5037295491037288,-0.32022790446487204,0.7519358744242848,-1.0280723894123662,0.6605189652526063,-0.037156029389467465,-0.043451977500476094,0.7486294488416372,-0.17978827393754093,0.7924106261027924,-0.9783331792890335,0.5124521333921134,0.5095495191805929,-0.47329551006158116,-0.5037295491037288,-0.2858866556752355,0.7313261112239511,-1.0267032331290966,0.6591393851368359,-0.0431904959956703,-0.031151711349225442,0.7501329368165994,fused,1,5,0.3255688555907464,0.7400567175668956,-0.19406803014375587,-0.46421870669860776,-0.03509582057120965,0.019492433321131326,0.8848103303944449,-0.12733970403416336,0.991575241216939,-0.023730587478218226,-0.9861934097597911,-0.1291296836828966,-0.10367296339119715,-0.5665385514590107,-0.8228592203832235,-0.04400878481666346,0.8201228086138844,-0.5682420747885862,0.06707848560631045,-0.08896443326608039,-0.6904625349245603,0.7632707674700333,-0.7427396241544408,0.6695346578045637,0.007822576905663006,-0.6694807799692519,-0.7423770150585398,-0.02592012277234857,1.698518875312587,-2.1737623831062147
5,0.9709250926971436,direct,direct,direct,0,0,0,3,0,0,8,1,-0.27149687484634866,0.805869623235524,-1.2460205073501454,0.6618285726179752,-0.028651941044229835,-0.06213185647292123,0.7465263820871167,1,1,8,-0.17355142308684246,0.7870597228937004,-0.7272963100597789,0.5115603592979315,0.5051186734000339,-0.474921177811989,-0.5075539374719048,1,-0.17552671501786585,0.7883353102597649,-0.7772409904437675,0.5115603592979315,0.5051186734000339,-0.474921177811989,-0.5075539374719048,-0.30275190873189894,0.7921594248449996,-0.9983611580073322,0.6618285726179752,-0.028651941044229835,-0.06213185647292123,0.7465263820871167,-0.18342788274195942,0.7934376597240226,-0.9770197119797217,0.5115603592979315,0.5051186734000339,-0.474921177811989,-0.5075539374719048,-0.2730476276937436,0.7497678405421191,-1.0149993936884256,0.6600285701073161,-0.03883451518471372,-0.040449263751452226,0.7491448619155213,fused,1,5,0.3272955606289138,0.742080986837427,-0.18721824793187708,-0.463967167206814,-0.0370328529324016,0.016993745744614885,0.8849148253721026,-0.1257083341449203,0.9920556791214211,-0.004790015599687718,-0.9857723689319554,-0.12545228740811473,-0.1118684952716873,-0.566726071115543,-0.8224015032682754,-0.04977276102469019,0.8198841957205519,-0.5688913607193037,0.0644400908332934,-0.08705901359290802,-0.6834400247348227,0.7556607158626218,-0.7443874792171081,0.6674030552932958,0.02145792557478958,-0.6677468506808133,-0.74405927937306,-0.022134411776667508,1.6968395775446172,-2.174176914695021
6,1.0521655082702637,direct,direct,direct,0,0,0,3,0,0,8,1,-0.2614013078751933,0.7384052189076185,-1.2984408807819952,0.6599851674608286,-0.0491791954121612,-0.04776656335760389,0.7481439306011368,1,1,8,-0.1755440329459539,0.7864851375795755,-0.726632882772229,0.5170757475410749,0.5077569875737175,-0.46902995002666487,-0.5048033467132392,1,-0.1778308662815133,0.7877494953078578,-0.7765645540123378,0.5170757475410749,0.5077569875737175,-0.46902995002666487,-0.5048033467132392,-0.29556047781321937,0.7367658564366275,-1.050790999700187,0.6599851674608286,-0.0491791954121612,-0.04776656335760389,0.7481439306011368,-0.1869781996237509,0.7928069262209869,-0.976291238972773,0.5170757475410749,0.5077569875737175,-0.46902995002666487,-0.5048033467132392,-0.26351414100116605,0.7542734057781255,-1.014561911382842,0.6600267460526185,-0.04193856048449007,-0.042645127394396805,0.7488572926460666,fused,1,5,0.32589783066073913,0.740785399413743,-0.18567353497239955,-0.46339567605878157,-0.048652600175281634,0.013942037736313747,0.8847050307814285,-0.12521170327936237,0.9921086347551107,-0.0065181443855309934,-0.9849547337367159,-0.12509217520941632,-0.11923137251164694,-0.5657947438124186,-0.8212936044783575,-0.07316504026642583,0.8185803389279032,-0.5701401339875681,0.06975999094980703,-0.09258565860170187,-0.6776863663324937,0.7528701241985565,-0.7434914527964345,0.66874318288201,0.0017363661731181397,-0.6685914941510073,-0.7432620897034965,-0.023385464684621868,1.6963402187521053,-2.174038322083706
7,1.1275012493133545,direct,direct,direct,0,0,0,3,0,0,8,1,-0.276722555667791,0.7898209777980968,-1.2572679908831745,0.6615760812177005,-0.03286080887656745,-0.05570232523662141,0.7470840026153966,1,1,8,-0.16627104016685146,0.7869098437873524,-0.7298576320969864,0.5136093025613512,0.5156497784475798,-0.4704229473800377,-0.49901206487186534,1,-0.1676434151683879,0.7884006172774245,-0.7798165570379462,0.5136093025613512,0.5156497784475798,-0.4704229473800377,-0.49901206487186534,-0.30742311100251274,0.7798837823328186,-1.0093592817815689,0.6615760812177005,-0.03286080887656745,-0.05570232523662141,0.7470840026153966,-0.17313291517453372,0.7943637112377129,-0.9796522568017852,0.5136093025613512,0.5156497784475798,-0.4704229473800377,-0.49901206487186534,-0.2565433026273732,0.7641285080802676,-1.0085450687554924,0.660509453440649,-0.03921639772796798,-0.046563408551851905,0.7483456320770572,fused,1,5,0.3275265426906165,0.742690258480238,-0.181262468263617,-0.46339656252288813,-0.04814265457592632,0.013098572051351162,0.8847453521000095,-0.12437867212955372,0.9922308271545066,0.0028163031747917774,-0.9849266305571496,-0.12311822179913674,-0.1214966496672182,-0.5658918213047077,-0.8212371098019052,-0.07304831322250507,0.8187147096830809,-0.5701841065043731,0.06779608276558201,-0.09158764531073227,-0.6731385698775879,0.7513253974157166,-0.7446776296423084,0.6673463027721431,0.010204905029587933,-0.6673939617473712,-0.7444108640213634,-0.020922842782833954,1.695498440117068,-2.174150615762116
8,1.2071990966796875,direct,direct,direct,0,0,0,3,0,0,8,1,-0.2663250865480557,0.802420798257552,-1.2516966678559995,0.6610506666253484,-0.03214544678960638,-0.06501815154201619,0.7468275077786963,1,1,8,-0.16989845496402034,0.7865774138845505,-0.726940523050324,0.5120286670640748,0.5109120513663358,-0.47353090233018746,-0.5025574637905481,1,-0.17143757332531115,0.7879369267488451,-0.7768983336452826,0.5120286670640748,0.5109120513663358,-0.47353090233018746,-0.5025574637905481,-0.2998187847140118,0.7887670107339207,-1.0043270127456216,0.6610506666253484,-0.03214544678960638,-0.06501815154201619,0.7468275077786963,-0.17759404677047433,0.7933749782060233,-0.9767295760251169,0.5120286670640748,0.5109120513663358,-0.47353090233018746,-0.5025574637905481,-0.2511922365618341,0.7722112539971788,-1.0031400364444554,0.6606990839461941,-0.03709676068745334,-0.05210167755171272,0.7479210961160644,fused,1,5,0.32905298057982313,0.7442140332992391,-0.176342860811803,-0.4632588476263848,-0.048272897160722805,0.011521300044002128,0.884832315832147,-0.12420110163831563,0.9921671730629354,0.01335616142952232,-0.9844359592087325,-0.12152427133791498,-0.12695547917506866,-0.5661219349911685,-0.8209251310143354,-0.07475215041021438,0.8187004648856079,-0.5705169994823402,0.06511453061918969,-0.08880218195562883,-0.6727783466813597,0.7486957958565849,-0.7451804003353779,0.6665633135463297,0.019987996151269602,-0.6668620580289784,-0.744893161242333,-0.02071651263510341,1.6953301507339262,-2.1745181473629636
9,1.2808880805969238,direct,direct,direct,0,0,0,3,0,0,8,1,-0.2496212968175037,0.7849994590189351,-1.2715841162213617,0.6599882072711645,-0.043114754426143265,-0.06431610986279752,0.7472751315451924,1,1,8,-0.16933577085351703,0.7877329827293575,-0.7270336685634067,0.5142305010643256,0.5140229254075893,-0.47042257169272567,-0.5000500254700114,1,-0.17086906972105867,0.789159942311071,-0.7769897771081578,0.5142305010643256,0.5140229254075893,-0.47042257169272567,-0.5000500254700114,-0.28695452573367264,0.7751961590301599,-1.0245818382399168,0.6599882072711645,-0.043114754426143265,-0.06431610986279752,0.7472751315451924,-0.17700226519122517,0.794867780637925,-0.9768142112871621,0.5142305010643256,0.5140229254075893,-0.47042257169272567,-0.5000500254700114,-0.24542808423201853,0.7760574687482379,-1.0024074329401806,0.6604987489526833,-0.03890287283126719,-0.0557670027119411,0.7477419411307226,fused,1,5,0.3282967985745346,0.7429582685610577,-0.17284879811362056,-0.4623398625158199,-0.05783250722086636,0.007074192402814051,0.8847865326954573,-0.12445593823482888,0.9921042265419536,0.01548945175532925,-0.9834262400832193,-0.12126288808093329,-0.13478925138917283,-0.5657945052748027,-0.8189624043309683,-0.09579748479621567,0.8173259311980984,-0.5723836146614019,0.06599484721029378,-0.09139191652685374,-0.6720179871044638,0.7473035992294854,-0.7435634272326601,0.6686393806216697,0.005899861344984775,-0.668563044917888,-0.7432662732876344,-0.024056225041226686,1.6955908637992712,-2.1753667610945766
10,1.3581149578094482,direct,direct,direct,0,0,0,3,0,0,8,1,-0.27530798574412446,0.7572601067069935,-1.2818943651473347,0.6606922450895655,-0.04024448366996395,-0.04638463937354123,0.748140764858348,1,1,8,-0.17286637437367913,0.7865645902493492,-0.7270853731674901,0.514721698875184,0.5117839572870346,-0.4696683117864494,-0.5025439589472088,1,-0.17469653168271695,0.7880119152104204,-0.7770309012423962,0.514721698875184,0.5117839572870346,-0.4696683117864494,-0.5025439589472088,-0.3056852409038999,0.753203596051883,-1.0337799417651725,0.6606922450895655,-0.04024448366996395,-0.04638463937354123,0.748140764858348,-0.18201716091886827,0.7938012150547048,-0.9768130135420205,0.514721698875184,0.5117839572870346,-0.4696683117864494,-0.5025439589472088,-0.2449550192358282,0.7752909497897547,-1.0032741463542054,0.6605630411126324,-0.03930572255198424,-0.05295282972991819,0.7478686560581955,fused,1,5,0.32735196995658156,0.7424810130413806,-0.17243757287779576,-0.46214798015766617,-0.06365279151797358,0.005833060351387965,0.8844962080049275,-0.12422305778139414,0.9921914860646512,0.01116632868313083,-0.9838660891298248,-0.12170493307924977,-0.1311313384533209,-0.5647351331363176,-0.8182788531221016,-0.10720983133408826,0.8167936908242671,-0.5727704396862532,0.06915265758659012,-0.09437006982579699,-0.6680290199980381,0.7508213582573885,-0.7429333264344596,0.6692708885706239,-0.011249452649608988,-0.6689903822730242,-0.7429747067323325,-0.020986986019853576,1.6953489180406875,-2.174880902695467
