frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.528325080871582,direct,direct,direct,0,0,0,3,0,0,6,1,-0.10322431280388417,0.9524274020625779,-1.1973306436968367,0.7016567285960066,-0.1925072940762764,-0.1698480077671254,0.6646581310725977,1,0,-1,,,,,,,,0,,,,,,,,-0.2267875806973898,0.9635189914543419,-0.9802843457043525,0.7016567285960066,-0.1925072940762764,-0.1698480077671254,0.6646581310725977,,,,,,,,-0.2267875806973898,0.9635189914543419,-0.9802843457043525,0.7016567285960066,-0.1925072940762764,-0.1698480077671254,0.6646581310725977,head,1,4,0.6632828444571822,0.9449629423855554,-0.19665626636326536,-0.18586635628922293,0.02401277373222776,-0.005932694752234117,0.9822636547436892,0.058762446113240385,0.9981176605252603,-0.017553081620301232,-0.8673297390072783,0.04234102105302294,-0.49592979520266195,-0.929754168594905,-0.3654244537585052,0.04496837306035484,0.36485461193167407,-0.9308370014654891,-0.020581274375630187,0.02002650747337087,-1.161394744514375,0.23959098863791461,-0.42016056363743964,0.7686298398560504,0.4823621772555668,-0.9072838359713157,-0.3456549772321677,-0.23949671751363436,1.5119909395544764,-2.7671063445605872
2,0.6062419414520264,direct,direct,direct,0,0,0,3,0,0,5,1,-0.09747379106066589,0.9431276115290842,-1.2077522802347893,0.7021538215060605,-0.19617248596075496,-0.16644492830211544,0.6639220229356128,1,0,-1,,,,,,,,0,,,,,,,,-0.22103037916116838,0.9567460151220715,-0.9908460594375488,0.7021538215060605,-0.19617248596075496,-0.16644492830211544,0.6639220229356128,,,,,,,,-0.22103037916116838,0.9567460151220715,-0.9908460594375488,0.7021538215060605,-0.19617248596075496,-0.16644492830211544,0.6639220229356128,head,1,3,0.6611926151425042,0.9407630809180199,-0.20253555617243654,-0.18742939281282406,0.007986171922773682,-0.005179971253136427,0.9822319541053696,0.06300726660717382,0.99765460189372,-0.02674658249147967,-0.8670469404513788,0.041447806426121836,-0.4964994283948032,-0.9296128875356721,-0.36828101380061123,0.013746788773528343,0.368115541236681,-0.9296867812152652,-0.01316955328112422,0.01855639964415412,-1.1569869198386118,0.24706930763777768,-0.4263572948746145,0.7839282970032316,0.4513046446302264,-0.9039601010070177,-0.3511682558303088,-0.2440020325417014,1.5077247025462976,-2.764395817282049
3,0.6672699451446533,direct,direct,direct,0,0,0,3,0,0,5,1,-0.11049641156175805,0.9293805569337169,-1.2188067304736787,0.7021016381558204,-0.1954523679652247,-0.16190892288847453,0.6653098242509229,1,0,-1,,,,,,,,0,,,,,,,,-0.23235286184796436,0.9441344722828325,-1.0010147942007386,0.7021016381558204,-0.1954523679652247,-0.16190892288847453,0.6653098242509229,,,,,,,,-0.23235286184796436,0.9441344722828325,-1.0010147942007386,0.7021016381558204,-0.1954523679652247,-0.16190892288847453,0.6653098242509229,head,1,3,0.6629857752895071,0.9462927362139995,-0.21062385862475932,-0.1872256140262042,0.01312441944063139,0.010108927815693794,0.9821772389163141,0.06229667688860047,0.9975211997219703,-0.032719721176655794,-0.8709392702289656,0.038322419223985105,-0.4898940495228114,-0.9295486381337144,-0.36751212565984104,0.029566312532037644,0.36804282089483387,-0.929688758061856,0.014943062643825432,0.032068164776964836,-1.1669106854765792,0.252279307957411,-0.42547632916490075,0.7810120982132941,0.45715423629758534,-0.9049453334586681,-0.36349138564828565,-0.22124184959195575,1.5084258465188385,-2.765087291434843
4,0.7208805084228516,direct,direct,direct,0,0,0,3,0,0,6,1,-0.09436376669209692,0.9488223164443002,-1.2035116877475525,0.7037447406672538,-0.19374587254432818,-0.167769202187021,0.6626155534340762,1,0,-1,,,,,,,,0,,,,,,,,-0.21758662781538946,0.9614128944806565,-0.9863536719127688,0.7037447406672538,-0.19374587254432818,-0.167769202187021,0.6626155534340762,,,,,,,,-0.21758662781538946,0.9614128944806565,-0.9863536719127688,0.7037447406672538,-0.19374587254432818,-0.167769202187021,0.6626155534340762,head,1,4,0.7141718733569477,1.0191947943315807,-0.22698381924937203,-0.20391973620611792,0.10689972283364371,0.08058975125970906,0.9697909478004091,0.0655882462895666,0.9976336025546857,-0.02062466975294176,-0.8676152406995251,0.046806330438579236,-0.49502824317081057,-0.8939783808874353,-0.37828898435529074,0.2402084486884738,0.4127490726468713,-0.9038440663550511,0.11271249595281745,0.10309581853649741,-1.181612841651514,0.2032672384715647,-0.4409824964183813,0.639012982561775,0.6302355480057582,-0.8769583822389703,-0.45620887890270545,-0.1510544757070968,1.5051469800205561,-2.7412880874893073
5,0.8047118186950684,direct,direct,direct,0,0,0,3,0,0,7,1,-0.08512421688495425,0.945166359974798,-1.2066208650061254,0.7018763832235048,-0.19957600127434882,-0.16858651755716408,0.6626594513672774,1,0,-1,,,,,,,,0,,,,,,,,-0.21041312624185585,0.9593474763349477,-0.9907468620994808,0.7018763832235048,-0.19957600127434882,-0.16858651755716408,0.6626594513672774,,,,,,,,-0.21041312624185585,0.9593474763349477,-0.9907468620994808,0.7018763832235048,-0.19957600127434882,-0.16858651755716408,0.6626594513672774,head,1,5,0.704963165886223,0.9996899120112501,-0.20352905337376584,-0.1987427054696968,0.07408890840179264,0.04539212836383274,0.9761924632760784,0.06492207522313391,0.9975016841547264,-0.0278480566145337,-0.8629183919834196,0.042103742457919965,-0.5035862623699995,-0.9100243413488327,-0.38129615594021016,0.16269277678447508,0.3947483689022517,-0.9168817834103735,0.05917364699953003,0.07774728991966484,-1.184628544508351,0.22330185204681285,-0.44395490411468413,0.6872928987771137,0.574919572116896,-0.8906111108942865,-0.4090388179275729,-0.19874379129939893,1.5058033165165117,-2.7448187957954464
6,0.8749268054962158,direct,direct,direct,0,0,0,3,0,0,5,1,-0.10038344739381572,0.9322667909635218,-1.2126653262813676,0.7020148811925776,-0.19800521557866183,-0.1609350801788943,0.6648826521692619,1,0,-1,,,,,,,,0,,,,,,,,-0.22269797442821143,0.9482666234402962,-0.9952184089956373,0.7020148811925776,-0.19800521557866183,-0.1609350801788943,0.6648826521692619,,,,,,,,-0.22269797442821143,0.9482666234402962,-0.9952184089956373,0.7020148811925776,-0.19800521557866183,-0.1609350801788943,0.6648826521692619,head,1,3,0.6631847035280087,0.941357421544341,-0.20671168737765183,-0.18612623695724473,0.006867650186954845,-0.002947241402207582,0.9824974163147517,0.06406191762436166,0.9972470026292025,-0.03734282337156539,-0.8697830616492377,0.03744998689603144,-0.4920111016527619,-0.9306197185940905,-0.36577757508369413,0.01239777922647836,0.3656966125918267,-0.9306966753685059,-0.008347813897922867,0.02041609502610664,-1.158738558179126,0.25196595615938344,-0.42485084221322783,0.7896390576609074,0.44268715871042236,-0.9043955126569125,-0.3488240805192959,-0.2457448219920609,1.506645704848315,-2.7670943085725583
7,0.9351825714111328,direct,direct,direct,0,0,0,3,0,0,5,1,-0.12210101225789172,0.8952118472247735,-1.2389660731537875,0.6989401273278453,-0.20326519480582875,-0.14815268145054905,0.6694899117764928,1,0,-1,,,,,,,,0,,,,,,,,-0.24191793794528893,0.9166535849773367,-1.0205990513740073,0.6989401273278453,-0.20326519480582875,-0.14815268145054905,0.6694899117764928,,,,,,,,-0.24191793794528893,0.9166535849773367,-1.0205990513740073,0.6989401273278453,-0.20326519480582875,-0.14815268145054905,0.6694899117764928,head,1,3,0.6613872814507513,0.9389976432505476,-0.22046503366919515,-0.1878786292572518,0.011387643778950126,-0.002680280227853371,0.982122578060132,0.05966808201703235,0.9960952956756435,-0.06506828660155493,-0.875638161051436,0.020933037220105213,-0.4825138535453685,-0.9291438844751602,-0.369100731609997,0.021360989381957032,0.36897864330414654,-0.9293888735326327,-0.009543717261923938,0.024091951665914157,-1.176576540412118,0.26788289425319445,-0.4244896588708419,0.7955604696990269,0.43231015320482635,-0.9031226434978918,-0.33794173677850814,-0.264886529186564,1.5109658391016267,-2.76346077029809
8,0.988562822341919,direct,direct,direct,0,0,0,3,0,0,5,1,-0.10832827066712986,0.9128822514280459,-1.21981455326993,0.7008011688831379,-0.20063712735592384,-0.15438041363844698,0.6669251477513893,1,0,-1,,,,,,,,0,,,,,,,,-0.2293282307355048,0.9317055280263682,-1.0018588377643376,0.7008011688831379,-0.20063712735592384,-0.15438041363844698,0.6669251477513893,,,,,,,,-0.2293282307355048,0.9317055280263682,-1.0018588377643376,0.7008011688831379,-0.20063712735592384,-0.15438041363844698,0.6669251477513893,head,1,3,0.6048646325017699,0.9668380649233952,-0.1820423022804323,-0.18025642497118882,-0.11575251606878194,0.08972524444118558,0.9726553124258984,0.06275507036321942,0.9967127316283407,-0.0512399429515558,-0.8728149607785917,0.029911180846300664,-0.4871338270962566,-0.9082179525607051,-0.3714265842921619,-0.19282749577666156,0.32988289309634683,-0.9189140035331513,0.2162737407848203,0.045359526139682194,-1.1264055219905753,0.3136308235731617,-0.41732041706422324,0.8755292048958703,0.2435000633998847,-0.9062733165649122,-0.42076678239022797,-0.04029876573059075,1.5079172844073796,-2.7533844121374025
9,1.034895896911621,direct,direct,direct,0,0,0,3,0,0,5,1,-0.08083560813340773,0.9334938734589202,-1.2143728461534251,0.7005674571195442,-0.20262650741315943,-0.17195283884257045,0.6622536958995258,1,0,-1,,,,,,,,0,,,,,,,,-0.20816296637040965,0.9475324404586921,-0.9996854862996623,0.7005674571195442,-0.20262650741315943,-0.17195283884257045,0.6622536958995258,,,,,,,,-0.20816296637040965,0.9475324404586921,-0.9996854862996623,0.7005674571195442,-0.20262650741315943,-0.17195283884257045,0.6622536958995258,head,1,3,0.6066989808143554,0.9690906128696304,-0.17044130284679065,-0.18093998976411768,-0.11984225230785779,0.08783024395980696,0.9722059467581453,0.06370452696279937,0.9975911817575973,-0.027451180738302057,-0.8582223690598059,0.04072508152192709,-0.511659880174719,-0.9057971093318816,-0.3728734166238501,-0.20123869384704385,0.33077031959628234,-0.9190931367002435,0.21414668277767115,0.050652905621202726,-1.1227457719817742,0.2983066848178981,-0.42415436895370284,0.8651558067492601,0.2675789628231679,-0.901686220936315,-0.43087489626678804,-0.03617710243608327,1.5070245673263154,-2.7510817681989
10,1.0864906311035156,direct,direct,direct,0,0,0,3,0,0,5,1,-0.10284618670139234,0.9151551937245304,-1.2180416121815558,0.7009853404905081,-0.20151198965772354,-0.15919634284254913,0.6653337469775221,1,0,-1,,,,,,,,0,,,,,,,,-0.22567970156749084,0.9328243194218242,-1.0010168909566843,0.7009853404905081,-0.20151198965772354,-0.15919634284254913,0.6653337469775221,,,,,,,,-0.22567970156749084,0.9328243194218242,-1.0010168909566843,0.7009853404905081,-0.20151198965772354,-0.15919634284254913,0.6653337469775221,head,1,3,0.6193232234814652,0.9615401189947055,-0.1871960836840949,-0.18431355408824154,-0.07258748801765623,0.061410646413138585,0.9782577895778638,0.06397505911681627,0.9969383499145981,-0.04495684909508205,-0.8686184627448575,0.03344784631407194,-0.49435129994338095,-0.9215191407252953,-0.3695276291445468,-0.11938092215980034,0.351697050901866,-0.9245144925729627,0.14690860223107316,0.046100174703564534,-1.1353380341162094,0.2933277501663504,-0.42198351625002656,0.8471047501164748,0.3230223743695922,-0.9057886609364367,-0.4090380288547877,-0.11061099705529868,1.5067126657090997,-2.760225950420981
