frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,pelvis_link_pos_x,pelvis_link_pos_y,pelvis_link_pos_z,pelvis_link_quat_w,pelvis_link_quat_x,pelvis_link_quat_y,pelvis_link_quat_z,torso_link_n_tags,torso_link_tags_used,torso_link_pos_x,torso_link_pos_y,torso_link_pos_z,torso_link_quat_w,torso_link_quat_x,torso_link_quat_y,torso_link_quat_z,torso_link_residual_max_pos_m,torso_link_residual_max_rot_deg,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.6889445781707764,direct,direct,direct,0,0,0,3,0,0,0,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8851974010467529,direct,direct,direct,0,0,0,3,0,0,3,0,,,,,,,,0,1,8,-1.176068720872333,0.4744720545954124,-0.3395551025672936,0.7755363894695172,-0.1852102554207821,-0.34862901746425906,-0.4926441698401184,1,-1.245810479058324,0.4963263946686278,-0.29418468285256083,0.40836574625722,0.7157996606765563,-0.12547352662782144,-0.5523808986330794,2,12|pelvis_fk,-1.0772315560425632,0.608856842421359,-0.4409418106493893,0.3264207677227747,0.8289350960617052,-0.12312357989623517,-0.43721467609171283,0.8603100215831099,65.49734518031136,-1.2207320358865996,0.4521721662744615,-0.3423663785782032,0.7755363894695172,-0.1852102554207821,-0.34862901746425906,-0.4926441698401184,,,,,,,,-1.3993852959436655,0.36297261299065775,-0.35361148262184144,0.7755363894695172,-0.1852102554207821,-0.34862901746425906,-0.4926441698401184,-1.3993852959436655,0.36297261299065775,-0.35361148262184144,0.7755363894695172,-0.1852102554207821,-0.34862901746425906,-0.4926441698401184,pelvis,0,0,,,,,,,,0.27151906020889127,-0.6349876227987223,0.7232344839923682,0.8932663002853294,0.44599776641901856,0.05622552021819135,,,,,,,,,,,,,,,,-1.166727711953198,
3,1.1563184261322021,direct,direct,direct,0,0,0,3,0,0,3,0,,,,,,,,0,1,8,-1.175474653576963,0.4762789938484353,-0.3348432343285337,0.7773340319596214,-0.18325376084697217,-0.346198989435379,-0.4922561544630617,1,-1.245130251448861,0.4976703156168832,-0.2891211495323745,0.4072653138894555,0.7162677075055447,-0.12218743639289562,-0.5533224789171383,2,12|pelvis_fk,-1.0761283473163896,0.6097756269975224,-0.43783532433360506,0.32552466853998374,0.8293069165612856,-0.12101252408092372,-0.43776671565014,0.8637842823779369,65.53136834021284,-1.2200836263890793,0.45386880009556735,-0.33764015417128534,0.7773340319596214,-0.18325376084697217,-0.346198989435379,-0.4922561544630617,,,,,,,,-1.3985195176375451,0.3642280250840956,-0.348827833542292,0.7773340319596214,-0.18325376084697217,-0.346198989435379,-0.4922561544630617,-1.3985195176375451,0.3642280250840956,-0.348827833542292,0.7773340319596214,-0.18325376084697217,-0.346198989435379,-0.4922561544630617,pelvis,0,0,,,,,,,,0.2756602762143219,-0.6384103889805107,0.7186400958471472,0.892179456242329,0.44820387505735887,0.0559383968550333,,,,,,,,,,,,,,,,-1.163187182297753,
4,1.335327386856079,direct,direct,direct,0,0,0,3,0,0,3,0,,,,,,,,0,1,8,-1.1772643131824427,0.48060013807654567,-0.33705639487190675,0.770681388251757,-0.19766748723716351,-0.34740402658866093,-0.4962743239395681,1,-1.2461279724206729,0.504600691354527,-0.2914299784153002,0.4097392890690065,0.7083461257714113,-0.13533222475681805,-0.5586095864199139,2,12|pelvis_fk,-1.0778887194678628,0.6159398650562526,-0.43777276890179506,0.3277470552150827,0.82404258610963,-0.13138736128884307,-0.443027138411576,0.8579751722817334,66.27505635251586,-1.2223782997743728,0.45913620208777867,-0.3390632993672065,0.770681388251757,-0.19766748723716351,-0.34740402658866093,-0.4962743239395681,,,,,,,,-1.4028342461420935,0.3732804581327106,-0.34709091734840575,0.770681388251757,-0.19766748723716351,-0.34740402658866093,-0.4962743239395681,-1.4028342461420935,0.3732804581327106,-0.34709091734840575,0.770681388251757,-0.19766748723716351,-0.34740402658866093,-0.4962743239395681,pelvis,0,0,,,,,,,,0.26604447541661863,-0.6275978078711898,0.7316702321781119,0.9022797318386034,0.4292787197753402,0.04013808990599602,,,,,,,,,,,,,,,,-1.1698499719201942,
5,1.5036499500274658,direct,direct,direct,0,0,0,3,0,0,3,0,,,,,,,,0,1,8,-1.1768043510030692,0.4808647637863609,-0.3409214483498646,0.7742052653874018,-0.1867512776684385,-0.34449975423963836,-0.49704133295376685,1,-1.2460637883922783,0.5032713979592404,-0.29508398465941826,0.40420748217085584,0.7144975374561843,-0.127043549737221,-0.5567490608849843,2,12|pelvis_fk,-1.077025863102732,0.6145910115156366,-0.44158302854244547,0.32320418385618516,0.8281406188034067,-0.12461882999437753,-0.4406725748632428,0.8593188860486645,65.68952605991304,-1.2217191296379386,0.45905737642388605,-0.3435861278059431,0.7742052653874018,-0.1867512776684385,-0.34449975423963836,-0.49704133295376685,,,,,,,,-1.4013782441774163,0.3718278269739867,-0.3542448456302572,0.7742052653874018,-0.1867512776684385,-0.34449975423963836,-0.49704133295376685,-1.4013782441774163,0.3718278269739867,-0.3542448456302572,0.7742052653874018,-0.1867512776684385,-0.34449975423963836,-0.49704133295376685,pelvis,0,0,,,,,,,,0.26853966532874285,-0.640952495654527,0.7190732552802673,0.8982955726973889,0.4361477472494968,0.053293589121570464,,,,,,,,,,,,,,,,-1.1740444774669483,
6,1.6748926639556885,direct,direct,direct,0,0,0,3,0,0,3,0,,,,,,,,0,1,8,-1.1764246014410105,0.4771961912601175,-0.33918246641863625,0.7770577955672142,-0.18299447533799454,-0.34298477051985204,-0.49503096017869214,1,-1.245798148159733,0.4987284051578765,-0.2930991203994249,0.4040030406231845,0.716039525463882,-0.12197620523466207,-0.5560492302820246,2,12|pelvis_fk,-1.0777040621819154,0.6101660520179557,-0.4403246027370837,0.3231056183835166,0.8290349532262281,-0.12035462650364369,-0.44024830445710944,0.8585747633859732,65.43206167358963,-1.2211677999194284,0.455050454214084,-0.3419415460856352,0.7770577955672142,-0.18299447533799454,-0.34298477051985204,-0.49503096017869214,,,,,,,,-1.4001405938331,0.36646750602995026,-0.3529778647536311,0.7770577955672142,-0.18299447533799454,-0.34298477051985204,-0.49503096017869214,-1.4001405938331,0.36646750602995026,-0.3529778647536311,0.7770577955672142,-0.18299447533799454,-0.34298477051985204,-0.49503096017869214,pelvis,0,0,,,,,,,,0.27461159131201346,-0.6438066970475466,0.7142138410544933,0.894863969568358,0.4429147409206688,0.0551815933399793,,,,,,,,,,,,,,,,-1.1676190090322944,
7,1.8570287227630615,direct,direct,direct,0,0,0,3,0,0,3,0,,,,,,,,0,1,8,-1.1765598578413212,0.48085160425805495,-0.3369409971129924,0.7713725116324796,-0.19572700139598015,-0.34735058625354626,-0.4960070155266516,1,-1.2455387264088893,0.5045421519913899,-0.2913265954482469,0.40922154187767734,0.7095015560083485,-0.13385604577184884,-0.5578779711507824,2,12|pelvis_fk,-1.0776759562898757,0.6151797037600686,-0.44022408410745417,0.3278148887899191,0.8247610984179822,-0.13023554972568718,-0.44197876737651615,0.8600820559749661,66.13571785794582,-1.2216190644447877,0.4592848061107667,-0.33907198700978675,0.7713725116324796,-0.19572700139598015,-0.34735058625354626,-0.4960070155266516,,,,,,,,-1.4018558908586543,0.3730176135216139,-0.34759594659696397,0.7713725116324796,-0.19572700139598015,-0.34735058625354626,-0.4960070155266516,-1.4018558908586543,0.3730176135216139,-0.34759594659696397,0.7713725116324796,-0.19572700139598015,-0.34735058625354626,-0.4960070155266516,pelvis,0,0,,,,,,,,0.2666492215553246,-0.6292405773471631,0.7300373199116267,0.9011841320693319,0.43133596294576426,0.04261979793588613,,,,,,,,,,,,,,,,-1.1699734286619834,
8,2.0498046875,direct,direct,direct,0,0,0,3,0,0,3,0,,,,,,,,0,1,8,-1.1764237740356411,0.48161335640038017,-0.3384694238712942,0.7746725333743607,-0.18824367960235247,-0.3428044499047713,-0.4969224207566047,1,-1.2454546823348027,0.5041145334531553,-0.29233450509351355,0.4043991210624399,0.7130778622166921,-0.12664900844468407,-0.5585170919142732,2,12|pelvis_fk,-1.0767397678640316,0.6146972247528627,-0.4399023561737857,0.3235749344839956,0.8272480412421215,-0.1241508687015781,-0.4422064018480451,0.8595489250080578,65.85178672508698,-1.2213720661968586,0.4598501139164639,-0.3409214247636491,0.7746725333743607,-0.18824367960235247,-0.3428044499047713,-0.4969224207566047,,,,,,,,-1.4011652348417278,0.3727971439807988,-0.35072942833306886,0.7746725333743607,-0.18824367960235247,-0.3428044499047713,-0.4969224207566047,-1.4011652348417278,0.3727971439807988,-0.35072942833306886,0.7746725333743607,-0.18824367960235247,-0.3428044499047713,-0.4969224207566047,pelvis,0,0,,,,,,,,0.2711064337497656,-0.640842759087809,0.7182073932397302,0.8989658432243467,0.4352648496783255,0.04904001784709877,,,,,,,,,,,,,,,,-1.1705812791255583,
9,2.1980109214782715,direct,direct,direct,0,0,0,3,0,0,3,0,,,,,,,,0,1,8,-1.1772225991745742,0.48133604658146023,-0.34026475186653293,0.7723843813699188,-0.19277994486396166,-0.3424810635312321,-0.49896390790975265,1,-1.2459312907249782,0.50471898259714,-0.29408733304826135,0.40434074092767996,0.7105247039734709,-0.13092026746751376,-0.5608235853062004,2,12|pelvis_fk,-1.0775517257099558,0.6152867040287886,-0.44100567747739644,0.3237938340273258,0.8255765802372127,-0.1275437480113841,-0.44419979238279966,0.8579421623659453,66.11321527064074,-1.2223641401627034,0.45994895543529263,-0.3424632990055683,0.7723843813699188,-0.19277994486396166,-0.3424810635312321,-0.49896390790975265,,,,,,,,-1.4029303041152208,0.37440059085062216,-0.3512574875617098,0.7723843813699188,-0.19277994486396166,-0.3424810635312321,-0.49896390790975265,-1.4029303041152208,0.37440059085062216,-0.3512574875617098,0.7723843813699188,-0.19277994486396166,-0.3424810635312321,-0.49896390790975265,pelvis,0,0,,,,,,,,0.2674834794518883,-0.6387368975845791,0.7214345180848628,0.9028308197625867,0.42774182292335233,0.04397094278070743,,,,,,,,,,,,,,,,-1.1742148513424833,
10,2.354048490524292,direct,direct,direct,0,0,0,3,0,0,3,0,,,,,,,,0,1,8,-1.177678977806249,0.4788155925042713,-0.33670573901483314,0.7141369345332548,-0.36387689321821315,-0.19251626047443418,-0.5661621099740309,1,-1.2155216797938568,0.5257496531057896,-0.27534513388637866,-0.35218398912593557,-0.5544692058817533,0.2042091645667118,0.7258298386255324,2,12|pelvis_fk,-1.055239833970639,0.6424105173365545,-0.416132079708645,0.2917100011767274,0.7248323057878701,-0.19224129557972847,-0.5937732631009421,0.8434181680883388,83.87850189708028,-1.225115927048365,0.4741101853231099,-0.3216194873312508,0.7141369345332548,-0.36387689321821315,-0.19251626047443418,-0.5661621099740309,,,,,,,,-1.4148637240168287,0.4552885565984641,-0.2612744805969214,0.7141369345332548,-0.36387689321821315,-0.19251626047443418,-0.5661621099740309,-1.4148637240168287,0.4552885565984641,-0.2612744805969214,0.7141369345332548,-0.36387689321821315,-0.19251626047443418,-0.5661621099740309,pelvis,0,0,,,,,,,,0.28479590936538624,-0.6685301098206171,0.6869925634764735,0.9487389848423184,0.09410814362322871,-0.301725033671647,,,,,,,,,,,,,,,,-1.1680763386833293,
11,2.5247397422790527,direct,direct,direct,0,0,0,3,0,0,3,0,,,,,,,,0,1,8,-1.1758855479941763,0.4774445681923133,-0.33887670713951135,0.776143319672864,-0.18194015005943764,-0.3449554290426173,-0.4954846931011689,1,-1.2454804666406092,0.49900374549426874,-0.29314106269604434,0.40377710283687507,0.7173216458786065,-0.12311847626517962,-0.5543063668954266,2,12|pelvis_fk,-1.0768997525725936,0.6104719410337003,-0.44142578981589614,0.3230099970315598,0.8298859338795871,-0.12136331217412658,-0.4384345162331576,0.8610212951260423,65.318866281214,-1.2206183857016226,0.4553052981224343,-0.34184755742389655,0.776143319672864,-0.18194015005943764,-0.3449554290426173,-0.4954846931011689,,,,,,,,-1.3995497365314078,0.36674821784291833,-0.3537309585614375,0.776143319672864,-0.18194015005943764,-0.3449554290426173,-0.4954846931011689,-1.3995497365314078,0.36674821784291833,-0.3537309585614375,0.776143319672864,-0.18194015005943764,-0.3449554290426173,-0.4954846931011689,pelvis,0,0,,,,,,,,0.2710013417529295,-0.6436117840536001,0.7157668225025904,0.8946567541489263,0.4427854013975798,0.05941700568770458,,,,,,,,,,,,,,,,-1.172264766437425,
